Spelling,Zipf,Conc,AOA,SumZipfAOA,gr
giver,2.75,3.38,5.83,8.58,3
overtake,3.49,2.63,9.44,12.93,3
stagger,2.84,3.57,9.56,12.4,3
metronome,2.5,4.27,11.06,13.56,3
snuggle,3.03,3.52,5.39,8.42,3
underscore,2.3,3.36,12.21,14.51,3
germinate,2.91,2.85,12.8,15.71,3
enlist,2.84,2.71,11.3,14.14,3
penile,2.2,3.21,13.79,15.99,3
additive,2.28,3.56,12.28,14.56,3
giddy,3.61,2.17,9.74,13.35,3
shrinkage,2.56,3.31,10.83,13.39,3
backer,2.73,2.8,13.1,15.83,3
scabies,2.4,4.24,12,14.4,3
vamp,2.52,3.05,15.06,17.58,3
talc,2.4,4.32,10.25,12.65,3
licensing,3.45,2.15,11.79,15.24,3
portly,2.64,2.55,11.12,13.76,3
nymph,2.72,3.58,11.21,13.93,3
solitude,3.04,2.07,12,15.04,3
flab,2.35,4.33,11.33,13.68,3
pollute,2.62,2.75,8.56,11.18,3
mourning,3.55,2.17,11.05,14.6,3
spiritual,3.98,1.79,8.7,12.68,4
assurance,3.71,1.76,12.33,16.04,4
selfish,3.93,1.92,5.26,9.19,4
expression,4.18,2.54,6.94,11.12,4
strict,4.1,2.72,7.56,11.66,4
poorly,3.92,2,8.08,12,4
limited,4.39,1.87,7.38,11.77,4
mighty,4.22,2.61,5.63,9.85,4
leisure,3.91,2.03,9.84,13.75,4
importance,4.32,1.75,6.8,11.12,4
classical,4.2,2.18,7.68,11.88,4
horrible,4.63,2.2,5.81,10.44,5
blame,4.66,2.06,6.48,11.14,5
afford,4.76,1.83,7.47,12.23,5
edema,1.3,3.92,15.07,16.37,1
urethane,1.3,3.72,14.44,15.74,1
devilfish,1.17,4.3,13.21,14.38,1
aspirate,1.9,3.3,14.41,16.31,2
redskin,1.74,3.85,10.32,12.06,2
outsize,2.08,3,12.94,15.02,2
henhouse,1.9,4.7,8.47,10.37,2
airsick,1.54,3.5,11.47,13.01,2
sanitizer,1.54,4.12,10.89,12.43,2
ingrown,2.13,3.14,10.24,12.37,2
injector,1.7,3.46,11.53,13.23,2
icebreaker,1.95,3.17,9.72,11.67,2
catacomb,1.9,4.67,11.75,13.65,2
readout,1.74,3.85,11.07,12.81,2
clatter,3.31,3.19,8.74,12.05,3
probing,3.03,2.52,10.58,13.61,3
complexion,3.14,3.36,11.42,14.56,3
navigate,3.52,2.68,10.05,13.57,3
inquire,2.62,2.38,10.4,13.02,3
molecular,3.18,3.09,11.84,15.02,3
slavery,3.57,3.11,8.32,11.89,3
daiquiri,2.29,4.62,15.47,17.76,3
rearrange,3.11,3.26,8.11,11.22,3
