Spelling,Zipf,Conc,AOA,SumZipfAOA,rankAll,gr
timecard,1.17,4.76,13.52,14.69,8.0516,5
peepshow,1.6,4.37,13.21,14.81,7.1293,5
hydrometer,1.65,4.07,14.55,16.2,7.2215,5
spearfish,1.6,4.69,12.47,14.07,7.2051,5
unfair,4.27,1.62,5.61,9.88,-0.7987,1
mood,4.5,1.75,6.58,11.08,-0.5786,1
ours,4.31,1.81,4.6,8.91,-0.982,1
innocent,4.3,1.54,5.95,10.25,-0.7965,1
amazing,5.36,1.55,5.22,10.58,-2.0874,1
knowledge,4.74,1.73,7.68,12.42,-0.4756,1
honesty,3.83,1.59,5,8.83,-0.59,1
simply,4.91,1.83,7.92,12.83,-0.4664,1
religion,4.39,1.71,7.06,11.45,-0.3502,1
luck,5.25,1.33,6.53,11.78,-1.7651,1
despite,4.9,1.33,9.11,14.01,-0.5637,1
sadness,3.72,1.82,5,8.72,-0.25,1
saver,3.26,2.27,7.84,11.1,1.5972,2
cruelty,3.55,2.04,8.89,12.44,1.4237,2
insanity,3.11,2.34,7.33,10.44,1.6489,2
premium,3.94,2.11,9.95,13.89,1.4535,2
resistant,3.42,1.83,8.95,12.37,1.3635,2
reality,4.7,1.72,10.05,14.75,0.3365,2
cure,4.14,2.41,9.58,13.72,1.4314,2
inevitable,4.02,1.54,11.6,15.62,1.348,2
impatient,3.31,2.38,7.39,10.7,1.5087,2
peaceful,4.2,2.27,7.22,11.42,0.4526,2
detailed,4.08,2.27,7,11.08,0.5,2
bravery,3.83,1.96,8.32,12.15,0.8756,2
mercantile,2.16,2.93,12.33,14.49,4.8389,3
odorous,1.9,3.27,10.95,12.85,4.9835,3
artisan,3.09,3.03,12.95,16.04,4.2135,3
doorframe,2.21,4.79,8.39,10.6,5.3487,3
curtail,2.61,2.76,12.88,15.49,4.4004,3
emigration,2.97,2.7,11.42,14.39,3.4986,3
curveball,2.37,4.26,9.11,11.48,4.8963,3
abolish,3.42,2.19,10.42,13.84,2.2086,3
seafaring,2.93,3.04,11.5,14.43,3.905,3
outreach,2.92,2.57,12.56,15.48,3.7948,3
unbroken,2.96,3.37,7.94,10.9,3.0302,3
schoolmate,1.9,4.64,6.56,8.46,4.9048,3
cribbage,2.61,3.58,13.65,16.26,5.4745,4
jazzman,1.7,4.58,11.88,13.58,6.8004,4
tailpipe,1.87,4.59,8.95,10.82,5.6735,4
contusion,2.02,4.04,12.84,14.86,6.2572,4
prospectus,2.6,2.65,18.22,20.82,6.0626,4
corseted,1.77,3.77,13.33,15.1,6.3989,4
firewall,2.85,3.82,13.56,16.41,5.4448,4
paintbox,1.17,4.65,6.35,7.52,5.5755,4
headpiece,2.08,4.8,10,12.08,6.02,4
cultivator,1.39,3.79,13.21,14.6,6.7593,4
waterbed,1.81,4.93,7.17,8.98,5.4861,4
meadowlark,1.39,4.35,8.94,10.33,5.9102,4
horsehide,1.17,4.83,11.32,12.49,7.3956,5
hymen,1.87,4.66,13.81,15.68,7.3473,5
gooseneck,1.3,3.79,14.08,15.38,7.1364,5
safflower,1.54,4.74,13.83,15.37,7.7639,5
gallstone,1.74,4.68,13.11,14.85,7.2663,5
hookah,1.54,4.83,15.13,16.67,8.2829,5
fluorite,1.17,3.92,13.83,15,7.3139,5
metacarpal,1.65,3.92,16.31,17.96,7.6523,5
pockmark,1.17,4.36,12.88,14.05,7.4404,5
barista,2.02,4.68,17.4,19.42,8.402,5
perineum,1.81,3.72,17.22,19.03,7.5926,5
wingtip,1.54,4.68,12.35,13.89,7.2155,5
grand,4.96,1.67,6.68,11.64,-1.0856,1
ordinary,4.59,1.79,8.63,13.22,0.0479,1
hope,5.56,1.25,4.89,10.45,-2.6963,1
perhaps,5.23,1.19,7.6,12.83,-1.532,1
horrible,4.63,2.2,5.81,10.44,-0.5127,1
wish,5.05,1.77,3.79,8.84,-2.0293,1
barely,4.31,1.71,7.22,11.53,-0.2174,1
heavenly,3.57,1.5,6.22,9.79,-0.0174,1
friendly,4.5,2.32,4.5,9,-0.695,1
eventually,4.72,1.75,7.03,11.75,-0.6501,1
fake,4.51,1.97,5.83,10.34,-0.6161,1
necessary,4.55,1.8,7.55,12.1,-0.2585,1
reign,3.96,2.37,9.42,13.38,1.5186,2
humble,4.02,1.73,8.89,12.91,0.6437,2
thingy,3.48,2.5,5.76,9.24,0.9208,2
mega,4.01,2.07,7.5,11.51,0.535,2
helper,3.22,3.39,4.8,8.02,1.754,2
undressed,2.87,3.34,3.95,6.82,1.7735,2
pride,4.48,1.66,8.95,13.43,0.1335,2
patience,4.06,1.66,7.68,11.74,0.1344,2
thorough,3.73,1.66,8.89,12.62,0.8637,2
