"Ans","Expression","acc","avg_rt","condition","conditionorders","correct","correct_consent_resp","correct_response","nbackdigit","oldnew","phase","practice","response","response_age_form","response_feedback_resp","response_gender_form","response_time","subject_nr","target","test_word","total_correct","total_response_time","total_responses"
"NA","NA","100","22169","NA","['D', 'A', 'B', 'C']","undefined","1","NA","NA","NA","NA","NA","return","NA","NA","NA","5802","50","NA","NA","1","22169","1"
"NA","NA","100","2982","D","['D', 'A', 'B', 'C']","1","1","None","8","NA","practice","1","None","NA","NA","NA","2982","50","NA","NA","1","2982","1"
"NA","NA","100","2133","D","['D', 'A', 'B', 'C']","1","1","z","8","NA","practice","1","z","NA","NA","NA","1284","50","NA","NA","2","4266","2"
"NA","NA","100","1810","D","['D', 'A', 'B', 'C']","1","1","z","6","NA","practice","1","z","NA","NA","NA","1164","50","NA","NA","3","5430","3"
"NA","NA","100","1620.25","D","['D', 'A', 'B', 'C']","1","1","z","5","NA","practice","1","z","NA","NA","NA","1051","50","NA","NA","4","6481","4"
"NA","NA","100","1459","D","['D', 'A', 'B', 'C']","1","1","m","7","NA","practice","1","m","NA","NA","NA","814","50","NA","NA","5","7295","5"
"NA","NA","100","1337.66666667","D","['D', 'A', 'B', 'C']","1","1","m","4","NA","practice","1","m","NA","NA","NA","731","50","NA","NA","6","8026","6"
"NA","NA","100","1219.57142857","D","['D', 'A', 'B', 'C']","1","1","z","7","NA","practice","1","z","NA","NA","NA","511","50","NA","NA","7","8537","7"
"NA","NA","100","1132.5","D","['D', 'A', 'B', 'C']","1","1","m","6","NA","practice","1","m","NA","NA","NA","523","50","NA","NA","8","9060","8"
"NA","NA","100","2992","D","['D', 'A', 'B', 'C']","1","1","None","5","NA","study","0","None","NA","NA","NA","2992","50","lunatic","NA","1","2992","1"
"NA","NA","100","1899","D","['D', 'A', 'B', 'C']","1","1","M","2","NA","study","0","m","NA","NA","NA","806","50","agitate","NA","2","3798","2"
"NA","NA","100","1521.33333333","D","['D', 'A', 'B', 'C']","1","1","Z","5","NA","study","0","z","NA","NA","NA","766","50","mislead","NA","3","4564","3"
"NA","NA","100","1411.75","D","['D', 'A', 'B', 'C']","1","1","M","7","NA","study","0","m","NA","NA","NA","1083","50","prosper","NA","4","5647","4"
"NA","NA","100","1267.2","D","['D', 'A', 'B', 'C']","1","1","M","9","NA","study","0","m","NA","NA","NA","689","50","twiddle","NA","5","6336","5"
"NA","NA","100","1225.16666667","D","['D', 'A', 'B', 'C']","1","1","M","2","NA","study","0","m","NA","NA","NA","1015","50","comedic","NA","6","7351","6"
"NA","NA","100","1173.14285714","D","['D', 'A', 'B', 'C']","1","1","Z","9","NA","study","0","z","NA","NA","NA","861","50","streaky","NA","7","8212","7"
"NA","NA","100","1141.25","D","['D', 'A', 'B', 'C']","1","1","M","8","NA","study","0","m","NA","NA","NA","918","50","grapple","NA","8","9130","8"
"NA","NA","100","1172.55555556","D","['D', 'A', 'B', 'C']","1","1","Z","9","NA","study","0","z","NA","NA","NA","1423","50","squashy","NA","9","10553","9"
"NA","NA","100","1176.3","D","['D', 'A', 'B', 'C']","1","1","M","7","NA","study","0","m","NA","NA","NA","1210","50","getaway","NA","10","11763","10"
"NA","NA","100","1156.72727273","D","['D', 'A', 'B', 'C']","1","1","M","7","NA","study","0","m","NA","NA","NA","961","50","budding","NA","11","12724","11"
"NA","NA","100","1112.66666667","D","['D', 'A', 'B', 'C']","1","1","M","7","NA","study","0","m","NA","NA","NA","628","50","tumbler","NA","12","13352","12"
"NA","NA","100","1093.23076923","D","['D', 'A', 'B', 'C']","1","1","M","2","NA","study","0","m","NA","NA","NA","860","50","execute","NA","13","14212","13"
"NA","NA","100","1066.78571429","D","['D', 'A', 'B', 'C']","1","1","Z","5","NA","study","0","z","NA","NA","NA","723","50","lawless","NA","14","14935","14"
"NA","NA","100","1046.4","D","['D', 'A', 'B', 'C']","1","1","M","5","NA","study","0","m","NA","NA","NA","761","50","gnarled","NA","15","15696","15"
"NA","NA","100","1057","D","['D', 'A', 'B', 'C']","1","1","M","5","NA","study","0","m","NA","NA","NA","1216","50","slender","NA","16","16912","16"
"NA","NA","100","1099.58823529","D","['D', 'A', 'B', 'C']","1","1","M","2","NA","study","0","m","NA","NA","NA","1781","50","vending","NA","17","18693","17"
"NA","NA","100","1090.16666667","D","['D', 'A', 'B', 'C']","1","1","Z","4","NA","study","0","z","NA","NA","NA","930","50","testify","NA","18","19623","18"
"NA","NA","100","1092.42105263","D","['D', 'A', 'B', 'C']","1","1","Z","9","NA","study","0","z","NA","NA","NA","1133","50","imaging","NA","19","20756","19"
"NA","NA","100","1086.2","D","['D', 'A', 'B', 'C']","1","1","M","7","NA","study","0","m","NA","NA","NA","968","50","glacial","NA","20","21724","20"
"NA","NA","100","1081.14285714","D","['D', 'A', 'B', 'C']","1","1","M","4","NA","study","0","m","NA","NA","NA","980","50","blowout","NA","21","22704","21"
"NA","NA","100","1056.90909091","D","['D', 'A', 'B', 'C']","1","1","Z","7","NA","study","0","z","NA","NA","NA","548","50","slapper","NA","22","23252","22"
"NA","NA","100","1054.52173913","D","['D', 'A', 'B', 'C']","1","1","M","4","NA","study","0","m","NA","NA","NA","1002","50","heathen","NA","23","24254","23"
"NA","NA","100","1050.125","D","['D', 'A', 'B', 'C']","1","1","Z","8","NA","study","0","z","NA","NA","NA","949","50","volumes","NA","24","25203","24"
"NA","NA","100","1032.24","D","['D', 'A', 'B', 'C']","1","1","Z","5","NA","study","0","z","NA","NA","NA","603","50","whaling","NA","25","25806","25"
"NA","NA","100","1021.61538462","D","['D', 'A', 'B', 'C']","1","1","M","4","NA","study","0","m","NA","NA","NA","756","50","changer","NA","26","26562","26"
"NA","NA","100","1010.77777778","D","['D', 'A', 'B', 'C']","1","1","Z","3","NA","study","0","z","NA","NA","NA","729","50","surpass","NA","27","27291","27"
"NA","NA","100","1007.39285714","D","['D', 'A', 'B', 'C']","1","1","M","7","NA","study","0","m","NA","NA","NA","916","50","dormant","NA","28","28207","28"
"NA","NA","100","994.655172414","D","['D', 'A', 'B', 'C']","1","1","M","7","NA","study","0","m","NA","NA","NA","638","50","radiant","NA","29","28845","29"
"NA","NA","100","993.133333333","D","['D', 'A', 'B', 'C']","1","1","M","4","NA","study","0","m","NA","NA","NA","949","50","cruiser","NA","30","29794","30"
"NA","NA","100","980.129032258","D","['D', 'A', 'B', 'C']","1","1","Z","1","NA","study","0","z","NA","NA","NA","590","50","hydrate","NA","31","30384","31"
"NA","NA","100","971.8125","D","['D', 'A', 'B', 'C']","1","1","M","7","NA","study","0","m","NA","NA","NA","714","50","smuggle","NA","32","31098","32"
"NA","NA","100","974.454545455","D","['D', 'A', 'B', 'C']","1","1","M","6","NA","study","0","m","NA","NA","NA","1059","50","discard","NA","33","32157","33"
"NA","NA","100","964.441176471","D","['D', 'A', 'B', 'C']","1","1","Z","7","NA","study","0","z","NA","NA","NA","634","50","remodel","NA","34","32791","34"
"NA","NA","100","967.4","D","['D', 'A', 'B', 'C']","1","1","M","4","NA","study","0","m","NA","NA","NA","1068","50","creamed","NA","35","33859","35"
"NA","NA","100","977.027777778","D","['D', 'A', 'B', 'C']","1","1","Z","9","NA","study","0","z","NA","NA","NA","1314","50","parched","NA","36","35173","36"
"NA","NA","100","989.027027027","D","['D', 'A', 'B', 'C']","1","1","M","3","NA","study","0","m","NA","NA","NA","1421","50","roundup","NA","37","36594","37"
"NA","NA","100","1004.76315789","D","['D', 'A', 'B', 'C']","1","1","M","6","NA","study","0","m","NA","NA","NA","1587","50","stealth","NA","38","38181","38"
"NA","NA","100","1005.15384615","D","['D', 'A', 'B', 'C']","1","1","Z","8","NA","study","0","z","NA","NA","NA","1020","50","sensory","NA","39","39201","39"
"NA","NA","100","1004.95","D","['D', 'A', 'B', 'C']","1","1","Z","8","NA","study","0","z","NA","NA","NA","997","50","comical","NA","40","40198","40"
"NA","NA","100","1008.80487805","D","['D', 'A', 'B', 'C']","1","1","Z","6","NA","study","0","z","NA","NA","NA","1163","50","breeder","NA","41","41361","41"
"NA","NA","100","1004.66666667","D","['D', 'A', 'B', 'C']","1","1","Z","9","NA","study","0","z","NA","NA","NA","835","50","trample","NA","42","42196","42"
