"Ans","Expression","acc","avg_rt","condition","conditionorders","correct","correct_consent_resp","correct_response","nbackdigit","oldnew","phase","practice","response","response_age_form","response_feedback_resp","response_gender_form","response_time","subject_nr","target","test_word","total_correct","total_response_time","total_responses"
"NA","NA","100","27015","NA","['C', 'D', 'A', 'B']","undefined","1","NA","NA","NA","NA","NA","return","NA","NA","NA","6170","38","NA","NA","1","27015","1"
"NA","NA","100","2982","C","['C', 'D', 'A', 'B']","1","1","None","8","NA","practice","1","None","NA","NA","NA","2982","38","NA","NA","1","2982","1"
"NA","NA","100","2599.5","C","['C', 'D', 'A', 'B']","1","1","z","8","NA","practice","1","z","NA","NA","NA","2217","38","NA","NA","2","5199","2"
"NA","NA","100","2274.33333333","C","['C', 'D', 'A', 'B']","1","1","z","6","NA","practice","1","z","NA","NA","NA","1624","38","NA","NA","3","6823","3"
"NA","NA","100","2071","C","['C', 'D', 'A', 'B']","1","1","z","5","NA","practice","1","z","NA","NA","NA","1461","38","NA","NA","4","8284","4"
"NA","NA","100","1991","C","['C', 'D', 'A', 'B']","1","1","m","7","NA","practice","1","m","NA","NA","NA","1671","38","NA","NA","5","9955","5"
"NA","NA","100","1756.66666667","C","['C', 'D', 'A', 'B']","1","1","m","4","NA","practice","1","m","NA","NA","NA","585","38","NA","NA","6","10540","6"
"NA","NA","100","1785.28571429","C","['C', 'D', 'A', 'B']","1","1","z","7","NA","practice","1","z","NA","NA","NA","1957","38","NA","NA","7","12497","7"
"NA","NA","100","1665.75","C","['C', 'D', 'A', 'B']","1","1","m","6","NA","practice","1","m","NA","NA","NA","829","38","NA","NA","8","13326","8"
"NA","NA","100","2990","C","['C', 'D', 'A', 'B']","1","1","None","7","NA","study","0","None","NA","NA","NA","2990","38","scarcely","NA","1","2990","1"
"NA","NA","100","2712","C","['C', 'D', 'A', 'B']","1","1","M","2","NA","study","0","m","NA","NA","NA","2434","38","devilfish","NA","2","5424","2"
"NA","NA","66.6666666667","2805.33333333","C","['C', 'D', 'A', 'B']","0","1","Z","1","NA","study","0","None","NA","NA","NA","2992","38","epic","NA","2","8416","3"
"NA","NA","50","2852","C","['C', 'D', 'A', 'B']","0","1","M","5","NA","study","0","None","NA","NA","NA","2992","38","injector","NA","2","11408","4"
"NA","NA","40","2879.8","C","['C', 'D', 'A', 'B']","0","1","M","8","NA","study","0","None","NA","NA","NA","2991","38","lively","NA","2","14399","5"
"NA","NA","33.3333333333","2898.5","C","['C', 'D', 'A', 'B']","0","1","Z","6","NA","study","0","None","NA","NA","NA","2992","38","islander","NA","2","17391","6"
"NA","NA","42.8571428571","2727.42857143","C","['C', 'D', 'A', 'B']","1","1","Z","4","NA","study","0","z","NA","NA","NA","1701","38","navigate","NA","3","19092","7"
"NA","NA","50","2553.25","C","['C', 'D', 'A', 'B']","1","1","Z","5","NA","study","0","z","NA","NA","NA","1334","38","cure","NA","4","20426","8"
"NA","NA","55.5555555556","2430.66666667","C","['C', 'D', 'A', 'B']","1","1","M","3","NA","study","0","m","NA","NA","NA","1450","38","sanitizer","NA","5","21876","9"
"NA","NA","60","2358.1","C","['C', 'D', 'A', 'B']","1","1","M","1","NA","study","0","m","NA","NA","NA","1705","38","edema","NA","6","23581","10"
"NA","NA","63.6363636364","2295.63636364","C","['C', 'D', 'A', 'B']","1","1","M","4","NA","study","0","m","NA","NA","NA","1671","38","queue","NA","7","25252","11"
"NA","NA","66.6666666667","2203.75","C","['C', 'D', 'A', 'B']","1","1","Z","4","NA","study","0","z","NA","NA","NA","1193","38","reshape","NA","8","26445","12"
"NA","NA","61.5384615385","2264.30769231","C","['C', 'D', 'A', 'B']","0","1","Z","4","NA","study","0","None","NA","NA","NA","2991","38","forgive","NA","8","29436","13"
"NA","NA","64.2857142857","2284.92857143","C","['C', 'D', 'A', 'B']","1","1","Z","2","NA","study","0","z","NA","NA","NA","2553","38","grudge","NA","9","31989","14"
"NA","NA","60","2305.6","C","['C', 'D', 'A', 'B']","0","1","Z","1","NA","study","0","m","NA","NA","NA","2595","38","pretender","NA","9","34584","15"
"NA","NA","62.5","2332.125","C","['C', 'D', 'A', 'B']","1","1","M","2","NA","study","0","m","NA","NA","NA","2730","38","proverb","NA","10","37314","16"
"NA","NA","64.7058823529","2321.88235294","C","['C', 'D', 'A', 'B']","1","1","Z","2","NA","study","0","z","NA","NA","NA","2158","38","henhouse","NA","11","39472","17"
"NA","NA","66.6666666667","2328.16666667","C","['C', 'D', 'A', 'B']","1","1","Z","9","NA","study","0","z","NA","NA","NA","2435","38","rearrange","NA","12","41907","18"
