"Ans","Expression","acc","avg_rt","condition","conditionorders","correct","correct_consent_resp","correct_response","nbackdigit","oldnew","phase","practice","response","response_age_form","response_feedback_resp","response_gender_form","response_time","subject_nr","target","test_word","total_correct","total_response_time","total_responses"
"NA","NA","100","11304","NA","['C', 'D', 'A', 'B']","undefined","1","NA","NA","NA","NA","NA","return","NA","NA","NA","8058","44","NA","NA","1","11304","1"
"NA","NA","100","2985","C","['C', 'D', 'A', 'B']","1","1","None","8","NA","practice","1","None","NA","NA","NA","2985","44","NA","NA","1","2985","1"
"NA","NA","100","2587.5","C","['C', 'D', 'A', 'B']","1","1","z","8","NA","practice","1","z","NA","NA","NA","2190","44","NA","NA","2","5175","2"
"NA","NA","66.6666666667","2722.33333333","C","['C', 'D', 'A', 'B']","0","1","z","6","NA","practice","1","None","NA","NA","NA","2992","44","NA","NA","2","8167","3"
"NA","NA","50","2789.25","C","['C', 'D', 'A', 'B']","0","1","z","5","NA","practice","1","None","NA","NA","NA","2990","44","NA","NA","2","11157","4"
"NA","NA","60","2691.6","C","['C', 'D', 'A', 'B']","1","1","m","7","NA","practice","1","m","NA","NA","NA","2301","44","NA","NA","3","13458","5"
"NA","NA","66.6666666667","2495.83333333","C","['C', 'D', 'A', 'B']","1","1","m","4","NA","practice","1","m","NA","NA","NA","1517","44","NA","NA","4","14975","6"
"NA","NA","71.4285714286","2263.28571429","C","['C', 'D', 'A', 'B']","1","1","z","7","NA","practice","1","z","NA","NA","NA","868","44","NA","NA","5","15843","7"
"NA","NA","75","2126.125","C","['C', 'D', 'A', 'B']","1","1","m","6","NA","practice","1","m","NA","NA","NA","1166","44","NA","NA","6","17009","8"
"NA","NA","77.7777777778","2020.77777778","C","['C', 'D', 'A', 'B']","1","1","z","4","NA","practice","1","z","NA","NA","NA","1178","44","NA","NA","7","18187","9"
"NA","NA","80","1913.2","C","['C', 'D', 'A', 'B']","1","1","z","1","NA","practice","1","z","NA","NA","NA","945","44","NA","NA","8","19132","10"
"NA","NA","81.8181818182","1819.90909091","C","['C', 'D', 'A', 'B']","1","1","m","8","NA","practice","1","m","NA","NA","NA","887","44","NA","NA","9","20019","11"
"NA","NA","83.3333333333","1742.91666667","C","['C', 'D', 'A', 'B']","1","1","z","3","NA","practice","1","z","NA","NA","NA","896","44","NA","NA","10","20915","12"
"NA","NA","100","2991","C","['C', 'D', 'A', 'B']","1","1","None","2","NA","study","0","None","NA","NA","NA","2991","44","botanical","NA","1","2991","1"
"NA","NA","50","2991.5","C","['C', 'D', 'A', 'B']","0","1","Z","9","NA","study","0","None","NA","NA","NA","2992","44","aquifer","NA","1","5983","2"
"NA","NA","33.3333333333","2991","C","['C', 'D', 'A', 'B']","0","1","M","7","NA","study","0","None","NA","NA","NA","2990","44","adjust","NA","1","8973","3"
"NA","NA","25","2990.75","C","['C', 'D', 'A', 'B']","0","1","M","3","NA","study","0","None","NA","NA","NA","2990","44","comforting","NA","1","11963","4"
"NA","NA","40","2403.8","C","['C', 'D', 'A', 'B']","1","1","M","4","NA","study","0","m","NA","NA","NA","56","44","harass","NA","2","12019","5"
"NA","NA","50","2081.5","C","['C', 'D', 'A', 'B']","1","1","Z","8","NA","study","0","z","NA","NA","NA","470","44","doctorate","NA","3","12489","6"
"NA","NA","57.1428571429","1921.28571429","C","['C', 'D', 'A', 'B']","1","1","Z","1","NA","study","0","z","NA","NA","NA","960","44","dismissive","NA","4","13449","7"
"NA","NA","62.5","1766.75","C","['C', 'D', 'A', 'B']","1","1","M","5","NA","study","0","m","NA","NA","NA","685","44","mammogram","NA","5","14134","8"
"NA","NA","66.6666666667","1675","C","['C', 'D', 'A', 'B']","1","1","M","5","NA","study","0","m","NA","NA","NA","941","44","bonsai","NA","6","15075","9"
"NA","NA","70","1621.1","C","['C', 'D', 'A', 'B']","1","1","M","7","NA","study","0","m","NA","NA","NA","1136","44","fodder","NA","7","16211","10"
"NA","NA","63.6363636364","1559.27272727","C","['C', 'D', 'A', 'B']","0","1","M","4","NA","study","0","z","NA","NA","NA","941","44","responder","NA","7","17152","11"
"NA","NA","66.6666666667","1520.08333333","C","['C', 'D', 'A', 'B']","1","1","Z","2","NA","study","0","z","NA","NA","NA","1089","44","cuticle","NA","8","18241","12"
"NA","NA","69.2307692308","1492.15384615","C","['C', 'D', 'A', 'B']","1","1","Z","7","NA","study","0","z","NA","NA","NA","1157","44","loophole","NA","9","19398","13"
"NA","NA","71.4285714286","1444.07142857","C","['C', 'D', 'A', 'B']","1","1","M","2","NA","study","0","m","NA","NA","NA","819","44","disprove","NA","10","20217","14"
"NA","NA","73.3333333333","1430.06666667","C","['C', 'D', 'A', 'B']","1","1","Z","5","NA","study","0","z","NA","NA","NA","1234","44","poetic","NA","11","21451","15"
"NA","NA","68.75","1406.875","C","['C', 'D', 'A', 'B']","0","1","M","2","NA","study","0","z","NA","NA","NA","1059","44","precaution","NA","11","22510","16"
"NA","NA","70.5882352941","1407.05882353","C","['C', 'D', 'A', 'B']","1","1","Z","3","NA","study","0","z","NA","NA","NA","1410","44","evil","NA","12","23920","17"
"NA","NA","72.2222222222","1457.94444444","C","['C', 'D', 'A', 'B']","1","1","M","1","NA","study","0","m","NA","NA","NA","2323","44","succulent","NA","13","26243","18"
"NA","NA","73.6842105263","1470.47368421","C","['C', 'D', 'A', 'B']","1","1","M","5","NA","study","0","m","NA","NA","NA","1696","44","panfry","NA","14","27939","19"
"NA","NA","75","1468.8","C","['C', 'D', 'A', 'B']","1","1","M","8","NA","study","0","m","NA","NA","NA","1437","44","negative","NA","15","29376","20"
"NA","NA","76.1904761905","1505.19047619","C","['C', 'D', 'A', 'B']","1","1","Z","5","NA","study","0","z","NA","NA","NA","2233","44","lifespan","NA","16","31609","21"
"NA","NA","77.2727272727","1509.86363636","C","['C', 'D', 'A', 'B']","1","1","M","4","NA","study","0","m","NA","NA","NA","1608","44","terror","NA","17","33217","22"
"NA","NA","78.2608695652","1515.52173913","C","['C', 'D', 'A', 'B']","1","1","Z","1","NA","study","0","z","NA","NA","NA","1640","44","ruin","NA","18","34857","23"
"NA","NA","75","1515.20833333","C","['C', 'D', 'A', 'B']","0","1","M","1","NA","study","0","z","NA","NA","NA","1508","44","unplugged","NA","18","36365","24"
"NA","NA","76","1536.32","C","['C', 'D', 'A', 'B']","1","1","M","5","NA","study","0","m","NA","NA","NA","2043","44","govern","NA","19","38408","25"
"NA","NA","76.9230769231","1590.65384615","C","['C', 'D', 'A', 'B']","1","1","M","8","NA","study","0","m","NA","NA","NA","2949","44","instantly","NA","20","41357","26"
"NA","NA","77.7777777778","1603.96296296","C","['C', 'D', 'A', 'B']","1","1","Z","5","NA","study","0","z","NA","NA","NA","1950","44","razorback","NA","21","43307","27"
"NA","NA","75","1653.46428571","C","['C', 'D', 'A', 'B']","0","1","M","2","NA","study","0","None","NA","NA","NA","2990","44","chairlady","NA","21","46297","28"
"NA","NA","75.8620689655","1656.10344828","C","['C', 'D', 'A', 'B']","1","1","Z","9","NA","study","0","z","NA","NA","NA","1730","44","barkeep","NA","22","48027","29"
