"Ans","Expression","acc","avg_rt","condition","conditionorders","correct","correct_consent_resp","correct_response","nbackdigit","oldnew","phase","practice","response","response_age_form","response_feedback_resp","response_gender_form","response_time","subject_nr","target","test_word","total_correct","total_response_time","total_responses"
"NA","NA","100","15868","NA","['C', 'D', 'A', 'B']","undefined","1","NA","NA","NA","NA","NA","space","NA","NA","NA","8381","40","NA","NA","1","15868","1"
"NA","NA","100","2984","C","['C', 'D', 'A', 'B']","1","1","None","8","NA","practice","1","None","NA","NA","NA","2984","40","NA","NA","1","2984","1"
"NA","NA","100","2293","C","['C', 'D', 'A', 'B']","1","1","z","8","NA","practice","1","z","NA","NA","NA","1602","40","NA","NA","2","4586","2"
"NA","NA","100","1953.66666667","C","['C', 'D', 'A', 'B']","1","1","z","6","NA","practice","1","z","NA","NA","NA","1275","40","NA","NA","3","5861","3"
"NA","NA","100","1751.25","C","['C', 'D', 'A', 'B']","1","1","z","5","NA","practice","1","z","NA","NA","NA","1144","40","NA","NA","4","7005","4"
"NA","NA","100","1585","C","['C', 'D', 'A', 'B']","1","1","m","7","NA","practice","1","m","NA","NA","NA","920","40","NA","NA","5","7925","5"
"NA","NA","100","1428","C","['C', 'D', 'A', 'B']","1","1","m","4","NA","practice","1","m","NA","NA","NA","643","40","NA","NA","6","8568","6"
"NA","NA","100","1328.71428571","C","['C', 'D', 'A', 'B']","1","1","z","7","NA","practice","1","z","NA","NA","NA","733","40","NA","NA","7","9301","7"
"NA","NA","100","1273.125","C","['C', 'D', 'A', 'B']","1","1","m","6","NA","practice","1","m","NA","NA","NA","884","40","NA","NA","8","10185","8"
"NA","NA","100","2992","C","['C', 'D', 'A', 'B']","1","1","None","9","NA","study","0","None","NA","NA","NA","2992","40","navigate","NA","1","2992","1"
"NA","NA","100","1916","C","['C', 'D', 'A', 'B']","1","1","M","1","NA","study","0","m","NA","NA","NA","840","40","queue","NA","2","3832","2"
"NA","NA","100","1556.66666667","C","['C', 'D', 'A', 'B']","1","1","M","7","NA","study","0","m","NA","NA","NA","838","40","stylish","NA","3","4670","3"
"NA","NA","100","1358.75","C","['C', 'D', 'A', 'B']","1","1","M","6","NA","study","0","m","NA","NA","NA","765","40","islander","NA","4","5435","4"
"NA","NA","100","1287.8","C","['C', 'D', 'A', 'B']","1","1","Z","4","NA","study","0","z","NA","NA","NA","1004","40","airflow","NA","5","6439","5"
"NA","NA","100","1211.16666667","C","['C', 'D', 'A', 'B']","1","1","Z","3","NA","study","0","z","NA","NA","NA","828","40","adobe","NA","6","7267","6"
"NA","NA","100","1140.28571429","C","['C', 'D', 'A', 'B']","1","1","M","1","NA","study","0","m","NA","NA","NA","715","40","outsize","NA","7","7982","7"
"NA","NA","100","1074.5","C","['C', 'D', 'A', 'B']","1","1","M","8","NA","study","0","m","NA","NA","NA","614","40","unsalted","NA","8","8596","8"
"NA","NA","100","1030.33333333","C","['C', 'D', 'A', 'B']","1","1","Z","1","NA","study","0","z","NA","NA","NA","677","40","edema","NA","9","9273","9"
"NA","NA","100","1010.6","C","['C', 'D', 'A', 'B']","1","1","M","6","NA","study","0","m","NA","NA","NA","833","40","chiller","NA","10","10106","10"
"NA","NA","100","988","C","['C', 'D', 'A', 'B']","1","1","Z","7","NA","study","0","z","NA","NA","NA","762","40","sanitizer","NA","11","10868","11"
"NA","NA","100","957.083333333","C","['C', 'D', 'A', 'B']","1","1","M","9","NA","study","0","m","NA","NA","NA","617","40","injector","NA","12","11485","12"
"NA","NA","100","945.615384615","C","['C', 'D', 'A', 'B']","1","1","M","3","NA","study","0","m","NA","NA","NA","808","40","devilfish","NA","13","12293","13"
"NA","NA","100","953.285714286","C","['C', 'D', 'A', 'B']","1","1","M","3","NA","study","0","m","NA","NA","NA","1053","40","proverb","NA","14","13346","14"
"NA","NA","100","947.4","C","['C', 'D', 'A', 'B']","1","1","M","6","NA","study","0","m","NA","NA","NA","865","40","epic","NA","15","14211","15"
"NA","NA","100","934.5","C","['C', 'D', 'A', 'B']","1","1","Z","6","NA","study","0","z","NA","NA","NA","741","40","probing","NA","16","14952","16"
"NA","NA","100","916.294117647","C","['C', 'D', 'A', 'B']","1","1","Z","7","NA","study","0","z","NA","NA","NA","625","40","masquerade","NA","17","15577","17"
"NA","NA","100","902.722222222","C","['C', 'D', 'A', 'B']","1","1","M","6","NA","study","0","m","NA","NA","NA","672","40","constraint","NA","18","16249","18"
"NA","NA","100","903.105263158","C","['C', 'D', 'A', 'B']","1","1","Z","4","NA","study","0","z","NA","NA","NA","910","40","ingrown","NA","19","17159","19"
"NA","NA","100","894.8","C","['C', 'D', 'A', 'B']","1","1","Z","5","NA","study","0","z","NA","NA","NA","737","40","readout","NA","20","17896","20"
"NA","NA","100","884.095238095","C","['C', 'D', 'A', 'B']","1","1","M","3","NA","study","0","m","NA","NA","NA","670","40","slavery","NA","21","18566","21"
"NA","NA","100","867.681818182","C","['C', 'D', 'A', 'B']","1","1","M","1","NA","study","0","m","NA","NA","NA","523","40","redskin","NA","22","19089","22"
"NA","NA","100","861.826086957","C","['C', 'D', 'A', 'B']","1","1","M","4","NA","study","0","m","NA","NA","NA","733","40","parole","NA","23","19822","23"
"NA","NA","100","853.125","C","['C', 'D', 'A', 'B']","1","1","Z","7","NA","study","0","z","NA","NA","NA","653","40","reshape","NA","24","20475","24"
"NA","NA","100","843.36","C","['C', 'D', 'A', 'B']","1","1","M","3","NA","study","0","m","NA","NA","NA","609","40","airsick","NA","25","21084","25"
"NA","NA","100","857.615384615","C","['C', 'D', 'A', 'B']","1","1","M","2","NA","study","0","m","NA","NA","NA","1214","40","complexion","NA","26","22298","26"
"NA","NA","100","844.962962963","C","['C', 'D', 'A', 'B']","1","1","Z","4","NA","study","0","z","NA","NA","NA","516","40","journeyman","NA","27","22814","27"
"NA","NA","100","830.785714286","C","['C', 'D', 'A', 'B']","1","1","Z","8","NA","study","0","z","NA","NA","NA","448","40","monarchy","NA","28","23262","28"
"NA","NA","100","822.068965517","C","['C', 'D', 'A', 'B']","1","1","Z","7","NA","study","0","z","NA","NA","NA","578","40","scientific","NA","29","23840","29"
"NA","NA","100","830.566666667","C","['C', 'D', 'A', 'B']","1","1","M","5","NA","study","0","m","NA","NA","NA","1077","40","linguist","NA","30","24917","30"
"NA","NA","100","850.64516129","C","['C', 'D', 'A', 'B']","1","1","M","7","NA","study","0","m","NA","NA","NA","1453","40","regroup","NA","31","26370","31"
"NA","NA","100","863.5","C","['C', 'D', 'A', 'B']","1","1","M","4","NA","study","0","m","NA","NA","NA","1262","40","depend","NA","32","27632","32"
"NA","NA","100","864.909090909","C","['C', 'D', 'A', 'B']","1","1","Z","8","NA","study","0","z","NA","NA","NA","910","40","error","NA","33","28542","33"
"NA","NA","100","860.029411765","C","['C', 'D', 'A', 'B']","1","1","Z","9","NA","study","0","z","NA","NA","NA","699","40","molecular","NA","34","29241","34"
"NA","NA","100","860.428571429","C","['C', 'D', 'A', 'B']","1","1","M","9","NA","study","0","m","NA","NA","NA","874","40","utmost","NA","35","30115","35"
"NA","NA","100","852.416666667","C","['C', 'D', 'A', 'B']","1","1","M","2","NA","study","0","m","NA","NA","NA","572","40","likely","NA","36","30687","36"
"NA","NA","100","849.567567568","C","['C', 'D', 'A', 'B']","1","1","Z","5","NA","study","0","z","NA","NA","NA","747","40","grudge","NA","37","31434","37"
"NA","NA","100","843.157894737","C","['C', 'D', 'A', 'B']","1","1","M","8","NA","study","0","m","NA","NA","NA","606","40","forgive","NA","38","32040","38"
"NA","NA","100","836.615384615","C","['C', 'D', 'A', 'B']","1","1","Z","6","NA","study","0","z","NA","NA","NA","588","40","scarcely","NA","39","32628","39"
"NA","NA","100","835.225","C","['C', 'D', 'A', 'B']","1","1","Z","3","NA","study","0","z","NA","NA","NA","781","40","midtown","NA","40","33409","40"
"NA","NA","100","831","C","['C', 'D', 'A', 'B']","1","1","M","7","NA","study","0","m","NA","NA","NA","662","40","cure","NA","41","34071","41"
"NA","NA","100","829.619047619","C","['C', 'D', 'A', 'B']","1","1","M","6","NA","study","0","m","NA","NA","NA","773","40","lively","NA","42","34844","42"
"NA","NA","100","826.813953488","C","['C', 'D', 'A', 'B']","1","1","Z","8","NA","study","0","z","NA","NA","NA","709","40","clatter","NA","43","35553","43"
"NA","NA","100","844.295454545","C","['C', 'D', 'A', 'B']","1","1","Z","9","NA","study","0","z","NA","NA","NA","1596","40","catacomb","NA","44","37149","44"
"NA","NA","100","837.844444444","C","['C', 'D', 'A', 'B']","1","1","M","1","NA","study","0","m","NA","NA","NA","554","40","pretender","NA","45","37703","45"
"NA","NA","100","832.391304348","C","['C', 'D', 'A', 'B']","1","1","M","3","NA","study","0","m","NA","NA","NA","587","40","inquire","NA","46","38290","46"
"NA","NA","100","837.14893617","C","['C', 'D', 'A', 'B']","1","1","M","7","NA","study","0","m","NA","NA","NA","1056","40","regular","NA","47","39346","47"
"NA","NA","100","833.375","C","['C', 'D', 'A', 'B']","1","1","M","3","NA","study","0","m","NA","NA","NA","656","40","aspirate","NA","48","40002","48"
"NA","NA","100","825.571428571","C","['C', 'D', 'A', 'B']","1","1","M","3","NA","study","0","m","NA","NA","NA","451","40","goodness","NA","49","40453","49"
"NA","NA","100","831.9","C","['C', 'D', 'A', 'B']","1","1","M","5","NA","study","0","m","NA","NA","NA","1142","40","rearrange","NA","50","41595","50"
"NA","NA","100","832.68627451","C","['C', 'D', 'A', 'B']","1","1","M","1","NA","study","0","m","NA","NA","NA","872","40","choker","NA","51","42467","51"
"NA","NA","100","827.096153846","C","['C', 'D', 'A', 'B']","1","1","M","9","NA","study","0","m","NA","NA","NA","542","40","olfactory","NA","52","43009","52"
"NA","NA","100","824.320754717","C","['C', 'D', 'A', 'B']","1","1","M","7","NA","study","0","m","NA","NA","NA","680","40","icebreaker","NA","53","43689","53"
"NA","NA","100","819.37037037","C","['C', 'D', 'A', 'B']","1","1","M","7","NA","study","0","m","NA","NA","NA","557","40","earache","NA","54","44246","54"
"NA","NA","100","814.290909091","C","['C', 'D', 'A', 'B']","1","1","M","4","NA","study","0","m","NA","NA","NA","540","40","satisfy","NA","55","44786","55"
"NA","NA","100","810.803571429","C","['C', 'D', 'A', 'B']","1","1","Z","4","NA","study","0","z","NA","NA","NA","619","40","urethane","NA","56","45405","56"
"NA","NA","100","805.596491228","C","['C', 'D', 'A', 'B']","1","1","Z","6","NA","study","0","z","NA","NA","NA","514","40","acronym","NA","57","45919","57"
"NA","NA","100","815.586206897","C","['C', 'D', 'A', 'B']","1","1","Z","9","NA","study","0","z","NA","NA","NA","1385","40","henhouse","NA","58","47304","58"
"NA","NA","100","816.288135593","C","['C', 'D', 'A', 'B']","1","1","M","8","NA","study","0","m","NA","NA","NA","857","40","audible","NA","59","48161","59"
"NA","NA","100","817.983333333","C","['C', 'D', 'A', 'B']","1","1","Z","5","NA","study","0","z","NA","NA","NA","918","40","daiquiri","NA","60","49079","60"
"NA","9 + 39 - 20 = ?","100","817.983333333","C","['C', 'D', 'A', 'B']","undefined","1","28","5","NA","retention","0","28","NA","NA","NA","14372","40","daiquiri","NA","60","49079","60"
"NA","7 + 7 - 1 = ?","100","817.983333333","C","['C', 'D', 'A', 'B']","undefined","1","13","5","NA","retention","0","13","NA","NA","NA","14372","40","daiquiri","NA","60","49079","60"
"NA","4 + 10 + 1 = ?","100","817.983333333","C","['C', 'D', 'A', 'B']","undefined","1","15","5","NA","retention","0","15","NA","NA","NA","14372","40","daiquiri","NA","60","49079","60"
"NA","3 + 34 - 17 = ?","100","817.983333333","C","['C', 'D', 'A', 'B']","undefined","1","20","5","NA","retention","0","20","NA","NA","NA","14372","40","daiquiri","NA","60","49079","60"
"NA","3 - 2 + 1 = ?","100","817.983333333","C","['C', 'D', 'A', 'B']","undefined","1","2","5","NA","retention","0","2","NA","NA","NA","14372","40","daiquiri","NA","60","49079","60"
"NA","9 + 9 + 9 = ?","100","817.983333333","C","['C', 'D', 'A', 'B']","undefined","1","27","5","NA","retention","0","27","NA","NA","NA","14372","40","daiquiri","NA","60","49079","60"
"NA","8 + 5 -12 = ?","100","817.983333333","C","['C', 'D', 'A', 'B']","undefined","1","1","5","NA","retention","0","1","NA","NA","NA","14372","40","daiquiri","NA","60","49079","60"
"NA","7 - 8 + 4 = ?","100","817.983333333","C","['C', 'D', 'A', 'B']","undefined","1","3","5","NA","retention","0","3","NA","NA","NA","14372","40","daiquiri","NA","60","49079","60"
"NA","8 + 1 - 0 = ?","100","817.983333333","C","['C', 'D', 'A', 'B']","undefined","1","9","5","NA","retention","0","9","NA","NA","NA","14372","40","daiquiri","NA","60","49079","60"
"NA","8 + 4 + 4 = ?","100","817.983333333","C","['C', 'D', 'A', 'B']","undefined","1","16","5","NA","retention","0","16","NA","NA","NA","14372","40","daiquiri","NA","60","49079","60"
"NA","8 - 2 + 13 = ?","100","817.983333333","C","['C', 'D', 'A', 'B']","undefined","1","19","5","NA","retention","0","19","NA","NA","NA","14372","40","daiquiri","NA","60","49079","60"
"NA","4 - 0 + 8 = ?","100","817.983333333","C","['C', 'D', 'A', 'B']","undefined","1","12","5","NA","retention","0","12","NA","NA","NA","14372","40","daiquiri","NA","60","49079","60"
"NA","9 + 10 - 1 = ?","100","7521","C","['C', 'D', 'A', 'B']","1","1","1;2;3","5","0","test","0","1","NA","NA","NA","7521","40","daiquiri","succulent","1","7521","1"
"NA","9 + 10 - 1 = ?","100","4881.5","C","['C', 'D', 'A', 'B']","1","1","1;2;3","5","0","test","0","1","NA","NA","NA","2242","40","daiquiri","seem","2","9763","2"
"NA","9 + 10 - 1 = ?","100","3701","C","['C', 'D', 'A', 'B']","1","1","1;2;3","5","0","test","0","1","NA","NA","NA","1340","40","daiquiri","gaze","3","11103","3"
"NA","9 + 10 - 1 = ?","100","3043.25","C","['C', 'D', 'A', 'B']","1","1","1;2;3","5","0","test","0","1","NA","NA","NA","1070","40","daiquiri","earthly","4","12173","4"
"NA","9 + 10 - 1 = ?","100","2592.2","C","['C', 'D', 'A', 'B']","1","1","1;2;3","5","0","test","0","1","NA","NA","NA","788","40","daiquiri","poetic","5","12961","5"
"NA","9 + 10 - 1 = ?","100","2323.33333333","C","['C', 'D', 'A', 'B']","1","1","1;2;3","5","0","test","0","1","NA","NA","NA","979","40","daiquiri","botanical","6","13940","6"
"NA","9 + 10 - 1 = ?","85.7142857143","2112.42857143","C","['C', 'D', 'A', 'B']","0","1","4;5;6","5","1","test","0","1","NA","NA","NA","847","40","daiquiri","chiller","6","14787","7"
"NA","9 + 10 - 1 = ?","75","2058.125","C","['C', 'D', 'A', 'B']","0","1","4;5;6","5","1","test","0","1","NA","NA","NA","1678","40","daiquiri","forgive","6","16465","8"
"NA","9 + 10 - 1 = ?","77.7777777778","2246","C","['C', 'D', 'A', 'B']","1","1","4;5;6","5","1","test","0","6","NA","NA","NA","3749","40","daiquiri","stylish","7","20214","9"
