"Ans","Expression","acc","avg_rt","condition","conditionorders","correct","correct_consent_resp","correct_response","nbackdigit","oldnew","phase","practice","response","response_age_form","response_feedback_resp","response_gender_form","response_time","subject_nr","target","test_word","total_correct","total_response_time","total_responses"
"NA","NA","100","13080","NA","['D', 'A', 'B', 'C']","undefined","1","NA","NA","NA","NA","NA","return","NA","NA","NA","10394","52","NA","NA","1","13080","1"
"NA","NA","100","2982","D","['D', 'A', 'B', 'C']","1","1","None","8","NA","practice","1","None","NA","NA","NA","2982","52","NA","NA","1","2982","1"
"NA","NA","100","1922","D","['D', 'A', 'B', 'C']","1","1","z","8","NA","practice","1","z","NA","NA","NA","862","52","NA","NA","2","3844","2"
"NA","NA","100","1645.33333333","D","['D', 'A', 'B', 'C']","1","1","z","6","NA","practice","1","z","NA","NA","NA","1092","52","NA","NA","3","4936","3"
"NA","NA","100","1439.5","D","['D', 'A', 'B', 'C']","1","1","z","5","NA","practice","1","z","NA","NA","NA","822","52","NA","NA","4","5758","4"
"NA","NA","100","1261.2","D","['D', 'A', 'B', 'C']","1","1","m","7","NA","practice","1","m","NA","NA","NA","548","52","NA","NA","5","6306","5"
"NA","NA","100","1229.83333333","D","['D', 'A', 'B', 'C']","1","1","m","4","NA","practice","1","m","NA","NA","NA","1073","52","NA","NA","6","7379","6"
"NA","NA","100","1163.42857143","D","['D', 'A', 'B', 'C']","1","1","z","7","NA","practice","1","z","NA","NA","NA","765","52","NA","NA","7","8144","7"
"NA","NA","100","1111.875","D","['D', 'A', 'B', 'C']","1","1","m","6","NA","practice","1","m","NA","NA","NA","751","52","NA","NA","8","8895","8"
"NA","NA","100","2991","D","['D', 'A', 'B', 'C']","1","1","None","3","NA","study","0","None","NA","NA","NA","2991","52","poacher","NA","1","2991","1"
"NA","NA","100","1903.5","D","['D', 'A', 'B', 'C']","1","1","M","8","NA","study","0","m","NA","NA","NA","816","52","geology","NA","2","3807","2"
"NA","NA","100","1410","D","['D', 'A', 'B', 'C']","1","1","Z","9","NA","study","0","z","NA","NA","NA","423","52","intrude","NA","3","4230","3"
