"Ans","Expression","acc","avg_rt","condition","conditionorders","correct","correct_consent_resp","correct_response","nbackdigit","oldnew","phase","practice","response","response_age_form","response_feedback_resp","response_gender_form","response_time","subject_nr","target","test_word","total_correct","total_response_time","total_responses"
"NA","NA","100","14121","NA","['C', 'D', 'A', 'B']","undefined","1","NA","NA","NA","NA","NA","return","NA","NA","NA","4730","33","NA","NA","1","14121","1"
"NA","NA","100","2988","C","['C', 'D', 'A', 'B']","1","1","None","8","NA","practice","1","None","NA","NA","NA","2988","33","NA","NA","1","2988","1"
"NA","NA","100","2350.5","C","['C', 'D', 'A', 'B']","1","1","z","8","NA","practice","1","z","NA","NA","NA","1713","33","NA","NA","2","4701","2"
"NA","NA","100","2233.33333333","C","['C', 'D', 'A', 'B']","1","1","z","6","NA","practice","1","z","NA","NA","NA","1999","33","NA","NA","3","6700","3"
"NA","NA","100","2341","C","['C', 'D', 'A', 'B']","1","1","z","5","NA","practice","1","z","NA","NA","NA","2664","33","NA","NA","4","9364","4"
"NA","NA","80","2471.2","C","['C', 'D', 'A', 'B']","0","1","m","7","NA","practice","1","None","NA","NA","NA","2992","33","NA","NA","4","12356","5"
"NA","NA","66.6666666667","2558","C","['C', 'D', 'A', 'B']","0","1","m","4","NA","practice","1","None","NA","NA","NA","2992","33","NA","NA","4","15348","6"
"NA","NA","71.4285714286","2588.14285714","C","['C', 'D', 'A', 'B']","1","1","z","7","NA","practice","1","z","NA","NA","NA","2769","33","NA","NA","5","18117","7"
"NA","NA","75","2607","C","['C', 'D', 'A', 'B']","1","1","m","6","NA","practice","1","m","NA","NA","NA","2739","33","NA","NA","6","20856","8"
"NA","NA","77.7777777778","2550.77777778","C","['C', 'D', 'A', 'B']","1","1","z","4","NA","practice","1","z","NA","NA","NA","2101","33","NA","NA","7","22957","9"
"NA","NA","70","2594.8","C","['C', 'D', 'A', 'B']","0","1","z","1","NA","practice","1","None","NA","NA","NA","2991","33","NA","NA","7","25948","10"
"NA","NA","72.7272727273","2504","C","['C', 'D', 'A', 'B']","1","1","m","8","NA","practice","1","m","NA","NA","NA","1596","33","NA","NA","8","27544","11"
"NA","NA","75","2417.75","C","['C', 'D', 'A', 'B']","1","1","z","3","NA","practice","1","z","NA","NA","NA","1469","33","NA","NA","9","29013","12"
"NA","NA","76.9230769231","2298","C","['C', 'D', 'A', 'B']","1","1","m","3","NA","practice","1","m","NA","NA","NA","861","33","NA","NA","10","29874","13"
"NA","NA","78.5714285714","2276.07142857","C","['C', 'D', 'A', 'B']","1","1","m","2","NA","practice","1","m","NA","NA","NA","1991","33","NA","NA","11","31865","14"
"NA","NA","80","2185.86666667","C","['C', 'D', 'A', 'B']","1","1","z","3","NA","practice","1","z","NA","NA","NA","923","33","NA","NA","12","32788","15"
"NA","NA","75","2236.125","C","['C', 'D', 'A', 'B']","0","1","m","2","NA","practice","1","None","NA","NA","NA","2990","33","NA","NA","12","35778","16"
"NA","NA","76.4705882353","2207.05882353","C","['C', 'D', 'A', 'B']","1","1","z","3","NA","practice","1","z","NA","NA","NA","1742","33","NA","NA","13","37520","17"
"NA","NA","77.7777777778","2149.44444444","C","['C', 'D', 'A', 'B']","1","1","m","9","NA","practice","1","m","NA","NA","NA","1170","33","NA","NA","14","38690","18"
"NA","NA","78.9473684211","2088.84210526","C","['C', 'D', 'A', 'B']","1","1","m","3","NA","practice","1","m","NA","NA","NA","998","33","NA","NA","15","39688","19"
"NA","NA","80","2071.2","C","['C', 'D', 'A', 'B']","1","1","m","3","NA","practice","1","m","NA","NA","NA","1736","33","NA","NA","16","41424","20"
"NA","NA","80.9523809524","2045.38095238","C","['C', 'D', 'A', 'B']","1","1","m","2","NA","practice","1","m","NA","NA","NA","1529","33","NA","NA","17","42953","21"
"NA","NA","81.8181818182","2045.27272727","C","['C', 'D', 'A', 'B']","1","1","z","5","NA","practice","1","z","NA","NA","NA","2043","33","NA","NA","18","44996","22"
"NA","NA","82.6086956522","2003.26086957","C","['C', 'D', 'A', 'B']","1","1","m","4","NA","practice","1","m","NA","NA","NA","1079","33","NA","NA","19","46075","23"
"NA","NA","83.3333333333","1959.33333333","C","['C', 'D', 'A', 'B']","1","1","z","5","NA","practice","1","z","NA","NA","NA","949","33","NA","NA","20","47024","24"
"NA","NA","100","2990","C","['C', 'D', 'A', 'B']","1","1","None","7","NA","study","0","None","NA","NA","NA","2990","33","curdle","NA","1","2990","1"
"NA","NA","100","2365.5","C","['C', 'D', 'A', 'B']","1","1","M","6","NA","study","0","m","NA","NA","NA","1741","33","timecard","NA","2","4731","2"
"NA","NA","100","2420.33333333","C","['C', 'D', 'A', 'B']","1","1","Z","4","NA","study","0","z","NA","NA","NA","2530","33","glasshouse","NA","3","7261","3"
"NA","NA","100","2280.75","C","['C', 'D', 'A', 'B']","1","1","Z","5","NA","study","0","z","NA","NA","NA","1862","33","additive","NA","4","9123","4"
"NA","NA","100","2229.4","C","['C', 'D', 'A', 'B']","1","1","M","6","NA","study","0","m","NA","NA","NA","2024","33","limited","NA","5","11147","5"
"NA","NA","100","2139.16666667","C","['C', 'D', 'A', 'B']","1","1","Z","2","NA","study","0","z","NA","NA","NA","1688","33","bronchial","NA","6","12835","6"
