"Ans","Expression","acc","avg_rt","condition","conditionorders","correct","correct_consent_resp","correct_response","nbackdigit","oldnew","phase","practice","response","response_age_form","response_feedback_resp","response_gender_form","response_time","subject_nr","target","test_word","total_correct","total_response_time","total_responses"
"NA","NA","100","21432","NA","['C', 'D', 'A', 'B']","undefined","1","NA","NA","NA","NA","NA","return","NA","NA","NA","12026","45","NA","NA","1","21432","1"
"NA","NA","100","2974","C","['C', 'D', 'A', 'B']","1","1","None","8","NA","practice","1","None","NA","NA","NA","2974","45","NA","NA","1","2974","1"
"NA","NA","100","2608","C","['C', 'D', 'A', 'B']","1","1","z","8","NA","practice","1","z","NA","NA","NA","2242","45","NA","NA","2","5216","2"
"NA","NA","100","2303.66666667","C","['C', 'D', 'A', 'B']","1","1","z","6","NA","practice","1","z","NA","NA","NA","1695","45","NA","NA","3","6911","3"
"NA","NA","100","2085.25","C","['C', 'D', 'A', 'B']","1","1","z","5","NA","practice","1","z","NA","NA","NA","1430","45","NA","NA","4","8341","4"
"NA","NA","100","1879.8","C","['C', 'D', 'A', 'B']","1","1","m","7","NA","practice","1","m","NA","NA","NA","1058","45","NA","NA","5","9399","5"
"NA","NA","100","1678.33333333","C","['C', 'D', 'A', 'B']","1","1","m","4","NA","practice","1","m","NA","NA","NA","671","45","NA","NA","6","10070","6"
"NA","NA","100","1545.85714286","C","['C', 'D', 'A', 'B']","1","1","z","7","NA","practice","1","z","NA","NA","NA","751","45","NA","NA","7","10821","7"
"NA","NA","100","1446.5","C","['C', 'D', 'A', 'B']","1","1","m","6","NA","practice","1","m","NA","NA","NA","751","45","NA","NA","8","11572","8"
"NA","NA","0","2532","C","['C', 'D', 'A', 'B']","0","1","None","1","NA","study","0","m","NA","NA","NA","2532","45","peacemaker","NA","0","2532","1"
"NA","NA","50","2129","C","['C', 'D', 'A', 'B']","1","1","M","4","NA","study","0","m","NA","NA","NA","1726","45","oxblood","NA","1","4258","2"
"NA","NA","66.6666666667","2072.66666667","C","['C', 'D', 'A', 'B']","1","1","Z","2","NA","study","0","z","NA","NA","NA","1960","45","adorn","NA","2","6218","3"
"NA","NA","75","1872","C","['C', 'D', 'A', 'B']","1","1","Z","2","NA","study","0","z","NA","NA","NA","1270","45","reassure","NA","3","7488","4"
"NA","NA","60","1828.4","C","['C', 'D', 'A', 'B']","0","1","Z","7","NA","study","0","m","NA","NA","NA","1654","45","perimeter","NA","3","9142","5"
"NA","NA","66.6666666667","1704.83333333","C","['C', 'D', 'A', 'B']","1","1","M","2","NA","study","0","m","NA","NA","NA","1087","45","moaner","NA","4","10229","6"
"NA","NA","71.4285714286","1552.42857143","C","['C', 'D', 'A', 'B']","1","1","Z","1","NA","study","0","z","NA","NA","NA","638","45","hysterical","NA","5","10867","7"
"NA","NA","75","1430","C","['C', 'D', 'A', 'B']","1","1","M","3","NA","study","0","m","NA","NA","NA","573","45","codebook","NA","6","11440","8"
"NA","NA","77.7777777778","1336.11111111","C","['C', 'D', 'A', 'B']","1","1","M","8","NA","study","0","m","NA","NA","NA","585","45","void","NA","7","12025","9"
"NA","NA","80","1286.8","C","['C', 'D', 'A', 'B']","1","1","Z","6","NA","study","0","z","NA","NA","NA","843","45","amid","NA","8","12868","10"
"NA","NA","81.8181818182","1232.54545455","C","['C', 'D', 'A', 'B']","1","1","Z","6","NA","study","0","z","NA","NA","NA","690","45","elixir","NA","9","13558","11"
"NA","NA","83.3333333333","1207.83333333","C","['C', 'D', 'A', 'B']","1","1","Z","7","NA","study","0","z","NA","NA","NA","936","45","frailty","NA","10","14494","12"
"NA","NA","84.6153846154","1183.69230769","C","['C', 'D', 'A', 'B']","1","1","M","3","NA","study","0","m","NA","NA","NA","894","45","reversal","NA","11","15388","13"
"NA","NA","85.7142857143","1154.07142857","C","['C', 'D', 'A', 'B']","1","1","M","7","NA","study","0","m","NA","NA","NA","769","45","allergist","NA","12","16157","14"
"NA","NA","86.6666666667","1138.33333333","C","['C', 'D', 'A', 'B']","1","1","M","5","NA","study","0","m","NA","NA","NA","918","45","coagulant","NA","13","17075","15"
"NA","NA","87.5","1135.9375","C","['C', 'D', 'A', 'B']","1","1","M","1","NA","study","0","m","NA","NA","NA","1100","45","uncertain","NA","14","18175","16"
"NA","NA","88.2352941176","1128.41176471","C","['C', 'D', 'A', 'B']","1","1","M","1","NA","study","0","m","NA","NA","NA","1008","45","peephole","NA","15","19183","17"
"NA","NA","88.8888888889","1163.16666667","C","['C', 'D', 'A', 'B']","1","1","M","2","NA","study","0","m","NA","NA","NA","1754","45","eager","NA","16","20937","18"
"NA","NA","89.4736842105","1149.78947368","C","['C', 'D', 'A', 'B']","1","1","Z","1","NA","study","0","z","NA","NA","NA","909","45","resentful","NA","17","21846","19"
"NA","NA","90","1134.2","C","['C', 'D', 'A', 'B']","1","1","M","7","NA","study","0","m","NA","NA","NA","838","45","gape","NA","18","22684","20"
"NA","NA","90.4761904762","1139.47619048","C","['C', 'D', 'A', 'B']","1","1","M","4","NA","study","0","m","NA","NA","NA","1245","45","saccharin","NA","19","23929","21"
"NA","NA","90.9090909091","1130.81818182","C","['C', 'D', 'A', 'B']","1","1","Z","5","NA","study","0","z","NA","NA","NA","949","45","barefaced","NA","20","24878","22"
"NA","NA","91.3043478261","1121.13043478","C","['C', 'D', 'A', 'B']","1","1","M","4","NA","study","0","m","NA","NA","NA","908","45","pectoral","NA","21","25786","23"
"NA","NA","91.6666666667","1110.91666667","C","['C', 'D', 'A', 'B']","1","1","Z","9","NA","study","0","z","NA","NA","NA","876","45","wannabe","NA","22","26662","24"
"NA","NA","92","1111.44","C","['C', 'D', 'A', 'B']","1","1","M","5","NA","study","0","m","NA","NA","NA","1124","45","declare","NA","23","27786","25"
"NA","NA","92.3076923077","1094.84615385","C","['C', 'D', 'A', 'B']","1","1","M","6","NA","study","0","m","NA","NA","NA","680","45","dampen","NA","24","28466","26"
