"Ans","Expression","acc","avg_rt","condition","conditionorders","correct","correct_consent_resp","correct_response","nbackdigit","oldnew","phase","practice","response","response_age_form","response_feedback_resp","response_gender_form","response_time","subject_nr","target","test_word","total_correct","total_response_time","total_responses"
"NA","NA","100","15240","NA","['C', 'D', 'A', 'B']","undefined","1","NA","NA","NA","NA","NA","return","NA","NA","NA","12153","48","NA","NA","1","15240","1"
"NA","NA","100","2983","C","['C', 'D', 'A', 'B']","1","1","None","8","NA","practice","1","None","NA","NA","NA","2983","48","NA","NA","1","2983","1"
"NA","NA","50","2987.5","C","['C', 'D', 'A', 'B']","0","1","z","8","NA","practice","1","None","NA","NA","NA","2992","48","NA","NA","1","5975","2"
"NA","NA","33.3333333333","2654.66666667","C","['C', 'D', 'A', 'B']","0","1","z","6","NA","practice","1","m","NA","NA","NA","1989","48","NA","NA","1","7964","3"
"NA","NA","25","2515.25","C","['C', 'D', 'A', 'B']","0","1","z","5","NA","practice","1","m","NA","NA","NA","2097","48","NA","NA","1","10061","4"
"NA","NA","20","2263.2","C","['C', 'D', 'A', 'B']","0","1","m","7","NA","practice","1","z","NA","NA","NA","1255","48","NA","NA","1","11316","5"
"NA","NA","16.6666666667","2384.5","C","['C', 'D', 'A', 'B']","0","1","m","4","NA","practice","1","None","NA","NA","NA","2991","48","NA","NA","1","14307","6"
"NA","NA","14.2857142857","2471.28571429","C","['C', 'D', 'A', 'B']","0","1","z","7","NA","practice","1","None","NA","NA","NA","2992","48","NA","NA","1","17299","7"
"NA","NA","12.5","2536.25","C","['C', 'D', 'A', 'B']","0","1","m","6","NA","practice","1","None","NA","NA","NA","2991","48","NA","NA","1","20290","8"
"NA","NA","22.2222222222","2586.66666667","C","['C', 'D', 'A', 'B']","1","1","z","4","NA","practice","1","z","NA","NA","NA","2990","48","NA","NA","2","23280","9"
"NA","NA","30","2579.5","C","['C', 'D', 'A', 'B']","1","1","z","1","NA","practice","1","z","NA","NA","NA","2515","48","NA","NA","3","25795","10"
