"Ans","Expression","acc","avg_rt","condition","conditionorders","correct","correct_consent_resp","correct_response","nbackdigit","oldnew","phase","practice","response","response_age_form","response_feedback_resp","response_gender_form","response_time","subject_nr","target","test_word","total_correct","total_response_time","total_responses"
"NA","NA","100","38636","NA","['C', 'D', 'A', 'B']","undefined","1","NA","NA","NA","NA","NA","return","NA","NA","NA","9997","47","NA","NA","1","38636","1"
"NA","NA","100","2972","C","['C', 'D', 'A', 'B']","1","1","None","8","NA","practice","1","None","NA","NA","NA","2972","47","NA","NA","1","2972","1"
"NA","NA","100","2565","C","['C', 'D', 'A', 'B']","1","1","z","8","NA","practice","1","z","NA","NA","NA","2158","47","NA","NA","2","5130","2"
"NA","NA","100","2258.66666667","C","['C', 'D', 'A', 'B']","1","1","z","6","NA","practice","1","z","NA","NA","NA","1646","47","NA","NA","3","6776","3"
"NA","NA","100","1964.75","C","['C', 'D', 'A', 'B']","1","1","z","5","NA","practice","1","z","NA","NA","NA","1083","47","NA","NA","4","7859","4"
"NA","NA","100","1767","C","['C', 'D', 'A', 'B']","1","1","m","7","NA","practice","1","m","NA","NA","NA","976","47","NA","NA","5","8835","5"
"NA","NA","100","1621.66666667","C","['C', 'D', 'A', 'B']","1","1","m","4","NA","practice","1","m","NA","NA","NA","895","47","NA","NA","6","9730","6"
"NA","NA","100","1502.14285714","C","['C', 'D', 'A', 'B']","1","1","z","7","NA","practice","1","z","NA","NA","NA","785","47","NA","NA","7","10515","7"
"NA","NA","100","1390.75","C","['C', 'D', 'A', 'B']","1","1","m","6","NA","practice","1","m","NA","NA","NA","611","47","NA","NA","8","11126","8"
"NA","NA","100","2992","C","['C', 'D', 'A', 'B']","1","1","None","8","NA","study","0","None","NA","NA","NA","2992","47","valid","NA","1","2992","1"
"NA","NA","100","2004","C","['C', 'D', 'A', 'B']","1","1","Z","6","NA","study","0","z","NA","NA","NA","1016","47","bereaved","NA","2","4008","2"
"NA","NA","100","1665","C","['C', 'D', 'A', 'B']","1","1","Z","8","NA","study","0","z","NA","NA","NA","987","47","dryness","NA","3","4995","3"
"NA","NA","100","1575.25","C","['C', 'D', 'A', 'B']","1","1","Z","1","NA","study","0","z","NA","NA","NA","1306","47","midlife","NA","4","6301","4"
"NA","NA","80","1858.6","C","['C', 'D', 'A', 'B']","0","1","M","6","NA","study","0","None","NA","NA","NA","2992","47","changer","NA","4","9293","5"
"NA","NA","83.3333333333","1759.5","C","['C', 'D', 'A', 'B']","1","1","Z","2","NA","study","0","z","NA","NA","NA","1264","47","backless","NA","5","10557","6"
"NA","NA","85.7142857143","1635.71428571","C","['C', 'D', 'A', 'B']","1","1","Z","3","NA","study","0","z","NA","NA","NA","893","47","condition","NA","6","11450","7"
"NA","NA","75","1805.125","C","['C', 'D', 'A', 'B']","0","1","M","8","NA","study","0","None","NA","NA","NA","2991","47","supposed","NA","6","14441","8"
"NA","NA","77.7777777778","1701","C","['C', 'D', 'A', 'B']","1","1","Z","7","NA","study","0","z","NA","NA","NA","868","47","extractor","NA","7","15309","9"
"NA","NA","70","1829.9","C","['C', 'D', 'A', 'B']","0","1","M","1","NA","study","0","None","NA","NA","NA","2990","47","edema","NA","7","18299","10"
"NA","NA","63.6363636364","1935.36363636","C","['C', 'D', 'A', 'B']","0","1","M","8","NA","study","0","None","NA","NA","NA","2990","47","enough","NA","7","21289","11"
"NA","NA","66.6666666667","1869.66666667","C","['C', 'D', 'A', 'B']","1","1","Z","9","NA","study","0","z","NA","NA","NA","1147","47","adequate","NA","8","22436","12"
"NA","NA","61.5384615385","1955.84615385","C","['C', 'D', 'A', 'B']","0","1","M","3","NA","study","0","None","NA","NA","NA","2990","47","hers","NA","8","25426","13"
"NA","NA","57.1428571429","2029.78571429","C","['C', 'D', 'A', 'B']","0","1","M","5","NA","study","0","None","NA","NA","NA","2991","47","dependent","NA","8","28417","14"
"NA","NA","53.3333333333","2093.86666667","C","['C', 'D', 'A', 'B']","0","1","M","6","NA","study","0","None","NA","NA","NA","2991","47","inner","NA","8","31408","15"
"NA","NA","56.25","2011.6875","C","['C', 'D', 'A', 'B']","1","1","Z","4","NA","study","0","z","NA","NA","NA","779","47","malformed","NA","9","32187","16"
"NA","NA","58.8235294118","1942.05882353","C","['C', 'D', 'A', 'B']","1","1","Z","3","NA","study","0","z","NA","NA","NA","828","47","perfectly","NA","10","33015","17"
"NA","NA","55.5555555556","2000.33333333","C","['C', 'D', 'A', 'B']","0","1","M","5","NA","study","0","None","NA","NA","NA","2991","47","wherever","NA","10","36006","18"
"NA","NA","52.6315789474","2052.47368421","C","['C', 'D', 'A', 'B']","0","1","M","6","NA","study","0","None","NA","NA","NA","2991","47","cruel","NA","10","38997","19"
"NA","NA","55","2012.15","C","['C', 'D', 'A', 'B']","1","1","Z","5","NA","study","0","z","NA","NA","NA","1246","47","bulky","NA","11","40243","20"
"NA","NA","52.380952381","2058.80952381","C","['C', 'D', 'A', 'B']","0","1","M","9","NA","study","0","None","NA","NA","NA","2992","47","natural","NA","11","43235","21"
"NA","NA","50","2101.22727273","C","['C', 'D', 'A', 'B']","0","1","M","5","NA","study","0","None","NA","NA","NA","2992","47","peepshow","NA","11","46227","22"
"NA","NA","47.8260869565","2139.91304348","C","['C', 'D', 'A', 'B']","0","1","M","7","NA","study","0","None","NA","NA","NA","2991","47","kerchief","NA","11","49218","23"
"NA","NA","45.8333333333","2175.375","C","['C', 'D', 'A', 'B']","0","1","M","8","NA","study","0","None","NA","NA","NA","2991","47","flaxseed","NA","11","52209","24"
"NA","NA","48","2119","C","['C', 'D', 'A', 'B']","1","1","Z","9","NA","study","0","z","NA","NA","NA","766","47","breadfruit","NA","12","52975","25"
"NA","NA","46.1538461538","2152.57692308","C","['C', 'D', 'A', 'B']","0","1","M","9","NA","study","0","None","NA","NA","NA","2992","47","boring","NA","12","55967","26"
"NA","NA","44.4444444444","2183.62962963","C","['C', 'D', 'A', 'B']","0","1","M","5","NA","study","0","None","NA","NA","NA","2991","47","unexpected","NA","12","58958","27"
"NA","NA","42.8571428571","2212.5","C","['C', 'D', 'A', 'B']","0","1","M","8","NA","study","0","None","NA","NA","NA","2992","47","prominent","NA","12","61950","28"
"NA","NA","44.8275862069","2163.93103448","C","['C', 'D', 'A', 'B']","1","1","Z","1","NA","study","0","z","NA","NA","NA","804","47","affection","NA","13","62754","29"
"NA","NA","43.3333333333","2191.5","C","['C', 'D', 'A', 'B']","0","1","M","2","NA","study","0","None","NA","NA","NA","2991","47","paralegal","NA","13","65745","30"
"NA","NA","45.1612903226","2145.03225806","C","['C', 'D', 'A', 'B']","1","1","Z","6","NA","study","0","z","NA","NA","NA","751","47","sheathe","NA","14","66496","31"
"NA","NA","46.875","2102.5625","C","['C', 'D', 'A', 'B']","1","1","Z","3","NA","study","0","z","NA","NA","NA","786","47","grappler","NA","15","67282","32"
"NA","NA","45.4545454545","2129.48484848","C","['C', 'D', 'A', 'B']","0","1","M","9","NA","study","0","None","NA","NA","NA","2991","47","torturer","NA","15","70273","33"
"NA","NA","44.1176470588","2154.79411765","C","['C', 'D', 'A', 'B']","0","1","M","8","NA","study","0","None","NA","NA","NA","2990","47","persuader","NA","15","73263","34"
"NA","NA","45.7142857143","2114.91428571","C","['C', 'D', 'A', 'B']","1","1","Z","3","NA","study","0","z","NA","NA","NA","759","47","corsage","NA","16","74022","35"
"NA","NA","44.4444444444","2139.27777778","C","['C', 'D', 'A', 'B']","0","1","M","9","NA","study","0","None","NA","NA","NA","2992","47","fairytale","NA","16","77014","36"
"NA","NA","43.2432432432","2162.2972973","C","['C', 'D', 'A', 'B']","0","1","M","9","NA","study","0","None","NA","NA","NA","2991","47","spearfish","NA","16","80005","37"
"NA","NA","42.1052631579","2184.13157895","C","['C', 'D', 'A', 'B']","0","1","M","4","NA","study","0","None","NA","NA","NA","2992","47","headphone","NA","16","82997","38"
"NA","NA","43.5897435897","2160.23076923","C","['C', 'D', 'A', 'B']","1","1","Z","8","NA","study","0","z","NA","NA","NA","1252","47","extremity","NA","17","84249","39"
"NA","NA","45","2139.975","C","['C', 'D', 'A', 'B']","1","1","Z","1","NA","study","0","z","NA","NA","NA","1350","47","dumb","NA","18","85599","40"
"NA","NA","43.9024390244","2160.70731707","C","['C', 'D', 'A', 'B']","0","1","M","4","NA","study","0","None","NA","NA","NA","2990","47","urethane","NA","18","88589","41"
"NA","NA","45.2380952381","2162.14285714","C","['C', 'D', 'A', 'B']","1","1","Z","6","NA","study","0","z","NA","NA","NA","2221","47","cantina","NA","19","90810","42"
"NA","NA","46.511627907","2158.72093023","C","['C', 'D', 'A', 'B']","1","1","Z","9","NA","study","0","z","NA","NA","NA","2015","47","otherwise","NA","20","92825","43"
"NA","NA","45.4545454545","2177.65909091","C","['C', 'D', 'A', 'B']","0","1","M","5","NA","study","0","None","NA","NA","NA","2992","47","cummerbund","NA","20","95817","44"
"NA","NA","44.4444444444","2195.73333333","C","['C', 'D', 'A', 'B']","0","1","M","5","NA","study","0","None","NA","NA","NA","2991","47","hydrometer","NA","20","98808","45"
"NA","NA","43.4782608696","2213.02173913","C","['C', 'D', 'A', 'B']","0","1","M","4","NA","study","0","None","NA","NA","NA","2991","47","donate","NA","20","101799","46"
"NA","NA","44.6808510638","2218.55319149","C","['C', 'D', 'A', 'B']","1","1","Z","7","NA","study","0","z","NA","NA","NA","2473","47","grazer","NA","21","104272","47"
"NA","NA","43.75","2234.66666667","C","['C', 'D', 'A', 'B']","0","1","M","7","NA","study","0","None","NA","NA","NA","2992","47","scorn","NA","21","107264","48"
"NA","NA","42.8571428571","2250.10204082","C","['C', 'D', 'A', 'B']","0","1","M","5","NA","study","0","None","NA","NA","NA","2991","47","login","NA","21","110255","49"
