"Ans","Expression","acc","avg_rt","condition","conditionorders","correct","correct_consent_resp","correct_response","nbackdigit","oldnew","phase","practice","response","response_age_form","response_feedback_resp","response_gender_form","response_time","subject_nr","target","test_word","total_correct","total_response_time","total_responses"
"NA","NA","100","23913","NA","['D', 'A', 'B', 'C']","undefined","1","NA","NA","NA","NA","NA","space","NA","NA","NA","7465","58","NA","NA","1","23913","1"
"NA","NA","100","2975","D","['D', 'A', 'B', 'C']","1","1","None","8","NA","practice","1","None","NA","NA","NA","2975","58","NA","NA","1","2975","1"
"NA","NA","100","1777.5","D","['D', 'A', 'B', 'C']","1","1","z","8","NA","practice","1","z","NA","NA","NA","580","58","NA","NA","2","3555","2"
"NA","NA","100","1343.33333333","D","['D', 'A', 'B', 'C']","1","1","z","6","NA","practice","1","z","NA","NA","NA","475","58","NA","NA","3","4030","3"
"NA","NA","75","1755.25","D","['D', 'A', 'B', 'C']","0","1","z","5","NA","practice","1","None","NA","NA","NA","2991","58","NA","NA","3","7021","4"
"NA","NA","80","1449.2","D","['D', 'A', 'B', 'C']","1","1","m","7","NA","practice","1","m","NA","NA","NA","225","58","NA","NA","4","7246","5"
"NA","NA","66.6666666667","1706","D","['D', 'A', 'B', 'C']","0","1","m","4","NA","practice","1","None","NA","NA","NA","2990","58","NA","NA","4","10236","6"
"NA","NA","71.4285714286","1573.28571429","D","['D', 'A', 'B', 'C']","1","1","z","7","NA","practice","1","z","NA","NA","NA","777","58","NA","NA","5","11013","7"
"NA","NA","75","1439.875","D","['D', 'A', 'B', 'C']","1","1","m","6","NA","practice","1","m","NA","NA","NA","506","58","NA","NA","6","11519","8"
"NA","NA","77.7777777778","1308.66666667","D","['D', 'A', 'B', 'C']","1","1","z","4","NA","practice","1","z","NA","NA","NA","259","58","NA","NA","7","11778","9"
"NA","NA","80","1193.9","D","['D', 'A', 'B', 'C']","1","1","z","1","NA","practice","1","z","NA","NA","NA","161","58","NA","NA","8","11939","10"
"NA","NA","72.7272727273","1357.27272727","D","['D', 'A', 'B', 'C']","0","1","m","8","NA","practice","1","None","NA","NA","NA","2991","58","NA","NA","8","14930","11"
"NA","NA","66.6666666667","1493.25","D","['D', 'A', 'B', 'C']","0","1","z","3","NA","practice","1","None","NA","NA","NA","2989","58","NA","NA","8","17919","12"
"NA","NA","61.5384615385","1608.38461538","D","['D', 'A', 'B', 'C']","0","1","m","3","NA","practice","1","None","NA","NA","NA","2990","58","NA","NA","8","20909","13"
"NA","NA","57.1428571429","1707.21428571","D","['D', 'A', 'B', 'C']","0","1","m","2","NA","practice","1","None","NA","NA","NA","2992","58","NA","NA","8","23901","14"
"NA","NA","53.3333333333","1792.8","D","['D', 'A', 'B', 'C']","0","1","z","3","NA","practice","1","None","NA","NA","NA","2991","58","NA","NA","8","26892","15"
"NA","NA","56.25","1697.4375","D","['D', 'A', 'B', 'C']","1","1","m","2","NA","practice","1","m","NA","NA","NA","267","58","NA","NA","9","27159","16"
"NA","NA","58.8235294118","1613.23529412","D","['D', 'A', 'B', 'C']","1","1","z","3","NA","practice","1","z","NA","NA","NA","266","58","NA","NA","10","27425","17"
"NA","NA","61.1111111111","1539.55555556","D","['D', 'A', 'B', 'C']","1","1","m","9","NA","practice","1","m","NA","NA","NA","287","58","NA","NA","11","27712","18"
"NA","NA","63.1578947368","1475.57894737","D","['D', 'A', 'B', 'C']","1","1","m","3","NA","practice","1","m","NA","NA","NA","324","58","NA","NA","12","28036","19"
"NA","NA","65","1418.95","D","['D', 'A', 'B', 'C']","1","1","m","3","NA","practice","1","m","NA","NA","NA","343","58","NA","NA","13","28379","20"
"NA","NA","66.6666666667","1368.33333333","D","['D', 'A', 'B', 'C']","1","1","m","2","NA","practice","1","m","NA","NA","NA","356","58","NA","NA","14","28735","21"
"NA","NA","68.1818181818","1320.36363636","D","['D', 'A', 'B', 'C']","1","1","z","5","NA","practice","1","z","NA","NA","NA","313","58","NA","NA","15","29048","22"
"NA","NA","69.5652173913","1274.73913043","D","['D', 'A', 'B', 'C']","1","1","m","4","NA","practice","1","m","NA","NA","NA","271","58","NA","NA","16","29319","23"
"NA","NA","0","2220","D","['D', 'A', 'B', 'C']","0","1","None","3","NA","study","0","m","NA","NA","NA","2220","58","fallout","NA","0","2220","1"
"NA","NA","0","2605","D","['D', 'A', 'B', 'C']","0","1","M","3","NA","study","0","None","NA","NA","NA","2990","58","gunnery","NA","0","5210","2"
"NA","NA","33.3333333333","1859.33333333","D","['D', 'A', 'B', 'C']","1","1","M","9","NA","study","0","m","NA","NA","NA","368","58","sloping","NA","1","5578","3"
