"Ans","Expression","acc","avg_rt","condition","conditionorders","correct","correct_consent_resp","correct_response","nbackdigit","oldnew","phase","practice","response","response_age_form","response_feedback_resp","response_gender_form","response_time","subject_nr","target","test_word","total_correct","total_response_time","total_responses"
"NA","NA","100","15928","NA","['C', 'D', 'A', 'B']","undefined","1","NA","NA","NA","NA","NA","space","NA","NA","NA","8026","41","NA","NA","1","15928","1"
"NA","NA","100","2984","C","['C', 'D', 'A', 'B']","1","1","None","8","NA","practice","1","None","NA","NA","NA","2984","41","NA","NA","1","2984","1"
"NA","NA","100","2850.5","C","['C', 'D', 'A', 'B']","1","1","z","8","NA","practice","1","z","NA","NA","NA","2717","41","NA","NA","2","5701","2"
"NA","NA","100","2497.33333333","C","['C', 'D', 'A', 'B']","1","1","z","6","NA","practice","1","z","NA","NA","NA","1791","41","NA","NA","3","7492","3"
"NA","NA","100","2188","C","['C', 'D', 'A', 'B']","1","1","z","5","NA","practice","1","z","NA","NA","NA","1260","41","NA","NA","4","8752","4"
"NA","NA","100","2007.4","C","['C', 'D', 'A', 'B']","1","1","m","7","NA","practice","1","m","NA","NA","NA","1285","41","NA","NA","5","10037","5"
"NA","NA","100","1815.83333333","C","['C', 'D', 'A', 'B']","1","1","m","4","NA","practice","1","m","NA","NA","NA","858","41","NA","NA","6","10895","6"
"NA","NA","100","1655.42857143","C","['C', 'D', 'A', 'B']","1","1","z","7","NA","practice","1","z","NA","NA","NA","693","41","NA","NA","7","11588","7"
"NA","NA","100","1567.125","C","['C', 'D', 'A', 'B']","1","1","m","6","NA","practice","1","m","NA","NA","NA","949","41","NA","NA","8","12537","8"
"NA","NA","100","2992","C","['C', 'D', 'A', 'B']","1","1","None","8","NA","study","0","None","NA","NA","NA","2992","41","thrush","NA","1","2992","1"
"NA","NA","100","1761","C","['C', 'D', 'A', 'B']","1","1","Z","9","NA","study","0","z","NA","NA","NA","530","41","wary","NA","2","3522","2"
"NA","NA","66.6666666667","2171","C","['C', 'D', 'A', 'B']","0","1","M","1","NA","study","0","None","NA","NA","NA","2991","41","such","NA","2","6513","3"
"NA","NA","75","1960.25","C","['C', 'D', 'A', 'B']","1","1","M","8","NA","study","0","m","NA","NA","NA","1328","41","shrinkage","NA","3","7841","4"
"NA","NA","80","1700.6","C","['C', 'D', 'A', 'B']","1","1","Z","3","NA","study","0","z","NA","NA","NA","662","41","cockfight","NA","4","8503","5"
