"Ans","Expression","acc","avg_rt","condition","conditionorders","correct","correct_consent_resp","correct_response","nbackdigit","oldnew","phase","practice","response","response_age_form","response_feedback_resp","response_gender_form","response_time","subject_nr","target","test_word","total_correct","total_response_time","total_responses"
"NA","NA","100","24152","NA","['D', 'A', 'B', 'C']","undefined","1","NA","NA","NA","NA","NA","return","NA","NA","NA","12458","49","NA","NA","1","24152","1"
"NA","NA","100","2983","D","['D', 'A', 'B', 'C']","1","1","None","8","NA","practice","1","None","NA","NA","NA","2983","49","NA","NA","1","2983","1"
"NA","NA","100","1957.5","D","['D', 'A', 'B', 'C']","1","1","z","8","NA","practice","1","z","NA","NA","NA","932","49","NA","NA","2","3915","2"
"NA","NA","100","1842","D","['D', 'A', 'B', 'C']","1","1","z","6","NA","practice","1","z","NA","NA","NA","1611","49","NA","NA","3","5526","3"
"NA","NA","100","1757.75","D","['D', 'A', 'B', 'C']","1","1","z","5","NA","practice","1","z","NA","NA","NA","1505","49","NA","NA","4","7031","4"
"NA","NA","100","1516.2","D","['D', 'A', 'B', 'C']","1","1","m","7","NA","practice","1","m","NA","NA","NA","550","49","NA","NA","5","7581","5"
"NA","NA","100","1393.5","D","['D', 'A', 'B', 'C']","1","1","m","4","NA","practice","1","m","NA","NA","NA","780","49","NA","NA","6","8361","6"
"NA","NA","100","1278","D","['D', 'A', 'B', 'C']","1","1","z","7","NA","practice","1","z","NA","NA","NA","585","49","NA","NA","7","8946","7"
"NA","NA","100","1244.625","D","['D', 'A', 'B', 'C']","1","1","m","6","NA","practice","1","m","NA","NA","NA","1011","49","NA","NA","8","9957","8"
"NA","NA","100","2992","D","['D', 'A', 'B', 'C']","1","1","None","5","NA","study","0","None","NA","NA","NA","2992","49","distort","NA","1","2992","1"
"NA","NA","100","1768","D","['D', 'A', 'B', 'C']","1","1","M","5","NA","study","0","m","NA","NA","NA","544","49","ingrown","NA","2","3536","2"
"NA","NA","100","1379","D","['D', 'A', 'B', 'C']","1","1","M","6","NA","study","0","m","NA","NA","NA","601","49","recluse","NA","3","4137","3"
"NA","NA","100","1312.25","D","['D', 'A', 'B', 'C']","1","1","Z","7","NA","study","0","z","NA","NA","NA","1112","49","crusade","NA","4","5249","4"
"NA","NA","80","1323.8","D","['D', 'A', 'B', 'C']","0","1","M","3","NA","study","0","z","NA","NA","NA","1370","49","comedic","NA","4","6619","5"
"NA","NA","66.6666666667","1378.33333333","D","['D', 'A', 'B', 'C']","0","1","M","1","NA","study","0","z","NA","NA","NA","1651","49","spindly","NA","4","8270","6"
"NA","NA","57.1428571429","1385.71428571","D","['D', 'A', 'B', 'C']","0","1","M","2","NA","study","0","z","NA","NA","NA","1430","49","walkout","NA","4","9700","7"
"NA","NA","62.5","1470.375","D","['D', 'A', 'B', 'C']","1","1","Z","2","NA","study","0","z","NA","NA","NA","2063","49","meander","NA","5","11763","8"
"NA","NA","66.6666666667","1507.11111111","D","['D', 'A', 'B', 'C']","1","1","Z","7","NA","study","0","z","NA","NA","NA","1801","49","imagery","NA","6","13564","9"
"NA","NA","70","1439.3","D","['D', 'A', 'B', 'C']","1","1","M","4","NA","study","0","m","NA","NA","NA","829","49","creamed","NA","7","14393","10"
"NA","NA","72.7272727273","1357.18181818","D","['D', 'A', 'B', 'C']","1","1","Z","2","NA","study","0","z","NA","NA","NA","536","49","twiddle","NA","8","14929","11"
"NA","NA","75","1341.16666667","D","['D', 'A', 'B', 'C']","1","1","Z","7","NA","study","0","z","NA","NA","NA","1165","49","radiant","NA","9","16094","12"
"NA","NA","69.2307692308","1322","D","['D', 'A', 'B', 'C']","0","1","M","7","NA","study","0","z","NA","NA","NA","1092","49","tidings","NA","9","17186","13"
"NA","NA","64.2857142857","1334.71428571","D","['D', 'A', 'B', 'C']","0","1","M","5","NA","study","0","z","NA","NA","NA","1500","49","puberty","NA","9","18686","14"
"NA","NA","60","1351.66666667","D","['D', 'A', 'B', 'C']","0","1","M","4","NA","study","0","z","NA","NA","NA","1589","49","getaway","NA","9","20275","15"
"NA","NA","62.5","1378.125","D","['D', 'A', 'B', 'C']","1","1","Z","7","NA","study","0","z","NA","NA","NA","1775","49","stunner","NA","10","22050","16"
"NA","NA","64.7058823529","1361.52941176","D","['D', 'A', 'B', 'C']","1","1","M","9","NA","study","0","m","NA","NA","NA","1096","49","captive","NA","11","23146","17"
"NA","NA","66.6666666667","1386.5","D","['D', 'A', 'B', 'C']","1","1","M","7","NA","study","0","m","NA","NA","NA","1811","49","curdled","NA","12","24957","18"
"NA","NA","68.4210526316","1417.42105263","D","['D', 'A', 'B', 'C']","1","1","M","8","NA","study","0","m","NA","NA","NA","1974","49","pliable","NA","13","26931","19"
"NA","NA","70","1372.85","D","['D', 'A', 'B', 'C']","1","1","Z","4","NA","study","0","z","NA","NA","NA","526","49","infancy","NA","14","27457","20"
"NA","NA","71.4285714286","1343.52380952","D","['D', 'A', 'B', 'C']","1","1","Z","5","NA","study","0","z","NA","NA","NA","757","49","abiding","NA","15","28214","21"
"NA","NA","72.7272727273","1320.22727273","D","['D', 'A', 'B', 'C']","1","1","M","2","NA","study","0","m","NA","NA","NA","831","49","migrate","NA","16","29045","22"
"NA","NA","73.9130434783","1374.17391304","D","['D', 'A', 'B', 'C']","1","1","Z","4","NA","study","0","z","NA","NA","NA","2561","49","algebra","NA","17","31606","23"
"NA","NA","70.8333333333","1441.54166667","D","['D', 'A', 'B', 'C']","0","1","Z","2","NA","study","0","None","NA","NA","NA","2991","49","dissect","NA","17","34597","24"
"NA","NA","72","1456.84","D","['D', 'A', 'B', 'C']","1","1","Z","7","NA","study","0","z","NA","NA","NA","1824","49","zoology","NA","18","36421","25"
"NA","NA","73.0769230769","1504.69230769","D","['D', 'A', 'B', 'C']","1","1","M","5","NA","study","0","m","NA","NA","NA","2701","49","furnish","NA","19","39122","26"
"NA","NA","74.0740740741","1510.07407407","D","['D', 'A', 'B', 'C']","1","1","M","2","NA","study","0","m","NA","NA","NA","1650","49","unearth","NA","20","40772","27"
"NA","NA","75","1483.64285714","D","['D', 'A', 'B', 'C']","1","1","Z","1","NA","study","0","z","NA","NA","NA","770","49","starchy","NA","21","41542","28"
"NA","NA","75.8620689655","1492.96551724","D","['D', 'A', 'B', 'C']","1","1","M","5","NA","study","0","m","NA","NA","NA","1754","49","marbled","NA","22","43296","29"
"NA","NA","76.6666666667","1474.23333333","D","['D', 'A', 'B', 'C']","1","1","M","9","NA","study","0","m","NA","NA","NA","931","49","wayward","NA","23","44227","30"
"NA","NA","77.4193548387","1456.5483871","D","['D', 'A', 'B', 'C']","1","1","M","5","NA","study","0","m","NA","NA","NA","926","49","imaging","NA","24","45153","31"
"NA","NA","78.125","1459.25","D","['D', 'A', 'B', 'C']","1","1","M","7","NA","study","0","m","NA","NA","NA","1543","49","shudder","NA","25","46696","32"
"NA","NA","78.7878787879","1469.27272727","D","['D', 'A', 'B', 'C']","1","1","M","1","NA","study","0","m","NA","NA","NA","1790","49","brittle","NA","26","48486","33"
"NA","NA","79.4117647059","1468.67647059","D","['D', 'A', 'B', 'C']","1","1","M","5","NA","study","0","m","NA","NA","NA","1449","49","montage","NA","27","49935","34"
"NA","NA","80","1470.28571429","D","['D', 'A', 'B', 'C']","1","1","M","2","NA","study","0","m","NA","NA","NA","1525","49","grating","NA","28","51460","35"
"NA","NA","80.5555555556","1452.91666667","D","['D', 'A', 'B', 'C']","1","1","Z","8","NA","study","0","z","NA","NA","NA","845","49","flapper","NA","29","52305","36"
"NA","NA","81.0810810811","1442.83783784","D","['D', 'A', 'B', 'C']","1","1","Z","5","NA","study","0","z","NA","NA","NA","1080","49","recycle","NA","30","53385","37"
"NA","NA","81.5789473684","1420.92105263","D","['D', 'A', 'B', 'C']","1","1","M","7","NA","study","0","m","NA","NA","NA","610","49","yardage","NA","31","53995","38"
"NA","NA","82.0512820513","1458.61538462","D","['D', 'A', 'B', 'C']","1","1","M","8","NA","study","0","m","NA","NA","NA","2891","49","scholar","NA","32","56886","39"
"NA","NA","82.5","1438.85","D","['D', 'A', 'B', 'C']","1","1","Z","8","NA","study","0","z","NA","NA","NA","668","49","diocese","NA","33","57554","40"
"NA","NA","82.9268292683","1447.07317073","D","['D', 'A', 'B', 'C']","1","1","Z","5","NA","study","0","z","NA","NA","NA","1776","49","legwork","NA","34","59330","41"
"NA","NA","83.3333333333","1427.33333333","D","['D', 'A', 'B', 'C']","1","1","M","3","NA","study","0","m","NA","NA","NA","618","49","stammer","NA","35","59948","42"
"NA","NA","83.7209302326","1419.37209302","D","['D', 'A', 'B', 'C']","1","1","M","7","NA","study","0","m","NA","NA","NA","1085","49","gnarled","NA","36","61033","43"
"NA","NA","84.0909090909","1416.38636364","D","['D', 'A', 'B', 'C']","1","1","M","9","NA","study","0","m","NA","NA","NA","1288","49","salvage","NA","37","62321","44"
"NA","NA","84.4444444444","1413.6","D","['D', 'A', 'B', 'C']","1","1","M","5","NA","study","0","m","NA","NA","NA","1291","49","jackass","NA","38","63612","45"
"NA","NA","84.7826086957","1408.15217391","D","['D', 'A', 'B', 'C']","1","1","M","8","NA","study","0","m","NA","NA","NA","1163","49","compile","NA","39","64775","46"
"NA","NA","85.1063829787","1397.72340426","D","['D', 'A', 'B', 'C']","1","1","Z","6","NA","study","0","z","NA","NA","NA","918","49","pursuit","NA","40","65693","47"
"NA","NA","85.4166666667","1382.64583333","D","['D', 'A', 'B', 'C']","1","1","Z","7","NA","study","0","z","NA","NA","NA","674","49","stardom","NA","41","66367","48"
"NA","NA","85.7142857143","1370.71428571","D","['D', 'A', 'B', 'C']","1","1","M","3","NA","study","0","m","NA","NA","NA","798","49","speeder","NA","42","67165","49"
"NA","NA","86","1359.9","D","['D', 'A', 'B', 'C']","1","1","M","3","NA","study","0","m","NA","NA","NA","830","49","scuttle","NA","43","67995","50"
"NA","NA","86.2745098039","1353.76470588","D","['D', 'A', 'B', 'C']","1","1","M","5","NA","study","0","m","NA","NA","NA","1047","49","appoint","NA","44","69042","51"
"NA","NA","86.5384615385","1349.30769231","D","['D', 'A', 'B', 'C']","1","1","M","8","NA","study","0","m","NA","NA","NA","1122","49","dropout","NA","45","70164","52"
"NA","NA","86.7924528302","1336.96226415","D","['D', 'A', 'B', 'C']","1","1","Z","2","NA","study","0","z","NA","NA","NA","695","49","stealth","NA","46","70859","53"
"NA","NA","87.037037037","1332.35185185","D","['D', 'A', 'B', 'C']","1","1","Z","7","NA","study","0","z","NA","NA","NA","1088","49","defiant","NA","47","71947","54"
"NA","NA","85.4545454545","1362.50909091","D","['D', 'A', 'B', 'C']","0","1","M","9","NA","study","0","None","NA","NA","NA","2991","49","upstart","NA","47","74938","55"
"NA","NA","85.7142857143","1358.76785714","D","['D', 'A', 'B', 'C']","1","1","M","9","NA","study","0","m","NA","NA","NA","1153","49","flyover","NA","48","76091","56"
"NA","NA","85.9649122807","1358.10526316","D","['D', 'A', 'B', 'C']","1","1","M","6","NA","study","0","m","NA","NA","NA","1321","49","keynote","NA","49","77412","57"
"NA","NA","86.2068965517","1352.4137931","D","['D', 'A', 'B', 'C']","1","1","Z","9","NA","study","0","z","NA","NA","NA","1028","49","parched","NA","50","78440","58"
"NA","NA","86.4406779661","1342.44067797","D","['D', 'A', 'B', 'C']","1","1","M","1","NA","study","0","m","NA","NA","NA","764","49","etching","NA","51","79204","59"
"NA","NA","86.6666666667","1338.6","D","['D', 'A', 'B', 'C']","1","1","M","4","NA","study","0","m","NA","NA","NA","1112","49","poacher","NA","52","80316","60"
"NA","5 - 4 + 11 = ?","86.6666666667","1338.6","D","['D', 'A', 'B', 'C']","undefined","1","12","4","NA","retention","0","12","NA","NA","NA","20536","49","poacher","NA","52","80316","60"
"NA","4 + 10 + 1 = ?","86.6666666667","1338.6","D","['D', 'A', 'B', 'C']","undefined","1","15","4","NA","retention","0","15","NA","NA","NA","20536","49","poacher","NA","52","80316","60"
"NA","9 + 10 - 1 = ?","86.6666666667","1338.6","D","['D', 'A', 'B', 'C']","undefined","1","18","4","NA","retention","0","18","NA","NA","NA","20536","49","poacher","NA","52","80316","60"
"NA","8 + 1 - 0 = ?","86.6666666667","1338.6","D","['D', 'A', 'B', 'C']","undefined","1","9","4","NA","retention","0","9","NA","NA","NA","20536","49","poacher","NA","52","80316","60"
"NA","9 + 11 - 2 = ?","86.6666666667","1338.6","D","['D', 'A', 'B', 'C']","undefined","1","18","4","NA","retention","0","18","NA","NA","NA","20536","49","poacher","NA","52","80316","60"
"NA","8 + 5 -12 = ?","86.6666666667","1338.6","D","['D', 'A', 'B', 'C']","undefined","1","1","4","NA","retention","0","1","NA","NA","NA","20536","49","poacher","NA","52","80316","60"
"NA","3 + 34 - 17 = ?","86.6666666667","1338.6","D","['D', 'A', 'B', 'C']","undefined","1","20","4","NA","retention","0","20","NA","NA","NA","20536","49","poacher","NA","52","80316","60"
"NA","7 - 7 + 1 = ?","86.6666666667","1338.6","D","['D', 'A', 'B', 'C']","undefined","1","1","4","NA","retention","0","1","NA","NA","NA","20536","49","poacher","NA","52","80316","60"
"NA","9 + 3 + 4 = ?","86.6666666667","1338.6","D","['D', 'A', 'B', 'C']","undefined","1","16","4","NA","retention","0","16","NA","NA","NA","20536","49","poacher","NA","52","80316","60"
"NA","5 + 7 - 6 = ?","86.6666666667","1338.6","D","['D', 'A', 'B', 'C']","undefined","1","6","4","NA","retention","0","6","NA","NA","NA","20536","49","poacher","NA","52","80316","60"
"NA","7 - 2 - 3 = ?","86.6666666667","1338.6","D","['D', 'A', 'B', 'C']","undefined","1","2","4","NA","retention","0","4","NA","NA","NA","20536","49","poacher","NA","52","80316","60"
"NA","1 + 2 + 6 = ?","86.6666666667","1338.6","D","['D', 'A', 'B', 'C']","undefined","1","9","4","NA","retention","0","9","NA","NA","NA","20536","49","poacher","NA","52","80316","60"
"NA","6 + 2 - 8 = ?","86.6666666667","1338.6","D","['D', 'A', 'B', 'C']","undefined","1","0","4","NA","retention","0","0","NA","NA","NA","20536","49","poacher","NA","52","80316","60"
"NA","8 - 3 + 12 = ?","100","3553","D","['D', 'A', 'B', 'C']","1","1","1;2;3","4","0","test","0","1","NA","NA","NA","3553","49","poacher","bubonic","1","3553","1"
"NA","8 - 3 + 12 = ?","100","3514.5","D","['D', 'A', 'B', 'C']","1","1","4;5;6","4","1","test","0","6","NA","NA","NA","3476","49","poacher","twiddle","2","7029","2"
"NA","8 - 3 + 12 = ?","100","3045.33333333","D","['D', 'A', 'B', 'C']","1","1","1;2;3","4","0","test","0","2","NA","NA","NA","2107","49","poacher","manhunt","3","9136","3"
"NA","8 - 3 + 12 = ?","100","2638","D","['D', 'A', 'B', 'C']","1","1","1;2;3","4","0","test","0","2","NA","NA","NA","1416","49","poacher","quintet","4","10552","4"
"NA","8 - 3 + 12 = ?","100","2435","D","['D', 'A', 'B', 'C']","1","1","4;5;6","4","1","test","0","6","NA","NA","NA","1623","49","poacher","appoint","5","12175","5"
"NA","8 - 3 + 12 = ?","100","2255.66666667","D","['D', 'A', 'B', 'C']","1","1","4;5;6","4","1","test","0","5","NA","NA","NA","1359","49","poacher","marbled","6","13534","6"
"NA","8 - 3 + 12 = ?","100","2094","D","['D', 'A', 'B', 'C']","1","1","4;5;6","4","1","test","0","6","NA","NA","NA","1124","49","poacher","defiant","7","14658","7"
"NA","8 - 3 + 12 = ?","100","1996.625","D","['D', 'A', 'B', 'C']","1","1","4;5;6","4","1","test","0","4","NA","NA","NA","1315","49","poacher","zoology","8","15973","8"
"NA","8 - 3 + 12 = ?","88.8888888889","1921.44444444","D","['D', 'A', 'B', 'C']","0","1","4;5;6","4","1","test","0","3","NA","NA","NA","1320","49","poacher","montage","8","17293","9"
"NA","8 - 3 + 12 = ?","80","1871","D","['D', 'A', 'B', 'C']","0","1","1;2;3","4","0","test","0","5","NA","NA","NA","1417","49","poacher","pruning","8","18710","10"
"NA","8 - 3 + 12 = ?","81.8181818182","1922.63636364","D","['D', 'A', 'B', 'C']","1","1","1;2;3","4","0","test","0","3","NA","NA","NA","2439","49","poacher","optical","9","21149","11"
"NA","8 - 3 + 12 = ?","83.3333333333","1896.08333333","D","['D', 'A', 'B', 'C']","1","1","4;5;6","4","1","test","0","5","NA","NA","NA","1604","49","poacher","scholar","10","22753","12"
"NA","8 - 3 + 12 = ?","84.6153846154","1842.84615385","D","['D', 'A', 'B', 'C']","1","1","4;5;6","4","1","test","0","4","NA","NA","NA","1204","49","poacher","wayward","11","23957","13"
"NA","8 - 3 + 12 = ?","85.7142857143","1827.14285714","D","['D', 'A', 'B', 'C']","1","1","4;5;6","4","1","test","0","5","NA","NA","NA","1623","49","poacher","starchy","12","25580","14"
"NA","8 - 3 + 12 = ?","86.6666666667","1823.13333333","D","['D', 'A', 'B', 'C']","1","1","1;2;3","4","0","test","0","2","NA","NA","NA","1767","49","poacher","haywire","13","27347","15"
"NA","8 - 3 + 12 = ?","81.25","1806.9375","D","['D', 'A', 'B', 'C']","0","1","4;5;6","4","1","test","0","3","NA","NA","NA","1564","49","poacher","unearth","13","28911","16"
"NA","8 - 3 + 12 = ?","82.3529411765","1782","D","['D', 'A', 'B', 'C']","1","1","4;5;6","4","1","test","0","6","NA","NA","NA","1383","49","poacher","compile","14","30294","17"
"NA","8 - 3 + 12 = ?","83.3333333333","1784.72222222","D","['D', 'A', 'B', 'C']","1","1","1;2;3","4","0","test","0","1","NA","NA","NA","1831","49","poacher","comrade","15","32125","18"
"NA","8 - 3 + 12 = ?","84.2105263158","1753.52631579","D","['D', 'A', 'B', 'C']","1","1","4;5;6","4","1","test","0","6","NA","NA","NA","1192","49","poacher","jackass","16","33317","19"
"NA","8 - 3 + 12 = ?","85","1758","D","['D', 'A', 'B', 'C']","1","1","1;2;3","4","0","test","0","2","NA","NA","NA","1843","49","poacher","ejector","17","35160","20"
"NA","8 - 3 + 12 = ?","85.7142857143","1752.28571429","D","['D', 'A', 'B', 'C']","1","1","1;2;3","4","0","test","0","3","NA","NA","NA","1638","49","poacher","innards","18","36798","21"
"NA","8 - 3 + 12 = ?","86.3636363636","1745.04545455","D","['D', 'A', 'B', 'C']","1","1","1;2;3","4","0","test","0","2","NA","NA","NA","1593","49","poacher","weighty","19","38391","22"
"NA","8 - 3 + 12 = ?","82.6086956522","1728","D","['D', 'A', 'B', 'C']","0","1","4;5;6","4","1","test","0","1","NA","NA","NA","1353","49","poacher","upstart","19","39744","23"
"NA","8 - 3 + 12 = ?","79.1666666667","1720.25","D","['D', 'A', 'B', 'C']","0","1","1;2;3","4","0","test","0","4","NA","NA","NA","1542","49","poacher","inferno","19","41286","24"
"NA","8 - 3 + 12 = ?","76","1687.48","D","['D', 'A', 'B', 'C']","0","1","1;2;3","4","0","test","0","4","NA","NA","NA","901","49","poacher","factual","19","42187","25"
"NA","8 - 3 + 12 = ?","76.9230769231","1686.11538462","D","['D', 'A', 'B', 'C']","1","1","1;2;3","4","0","test","0","2","NA","NA","NA","1652","49","poacher","oversee","20","43839","26"
"NA","8 - 3 + 12 = ?","77.7777777778","1674.7037037","D","['D', 'A', 'B', 'C']","1","1","1;2;3","4","0","test","0","3","NA","NA","NA","1378","49","poacher","audible","21","45217","27"
"NA","8 - 3 + 12 = ?","78.5714285714","1658.5","D","['D', 'A', 'B', 'C']","1","1","1;2;3","4","0","test","0","3","NA","NA","NA","1221","49","poacher","hotline","22","46438","28"
"NA","8 - 3 + 12 = ?","79.3103448276","1646.86206897","D","['D', 'A', 'B', 'C']","1","1","1;2;3","4","0","test","0","1","NA","NA","NA","1321","49","poacher","pervert","23","47759","29"
"NA","8 - 3 + 12 = ?","80","1643.9","D","['D', 'A', 'B', 'C']","1","1","4;5;6","4","1","test","0","6","NA","NA","NA","1558","49","poacher","etching","24","49317","30"
"NA","8 - 3 + 12 = ?","77.4193548387","1632.87096774","D","['D', 'A', 'B', 'C']","0","1","4;5;6","4","1","test","0","2","NA","NA","NA","1302","49","poacher","recycle","24","50619","31"
