"Ans","Expression","acc","avg_rt","condition","conditionorders","correct","correct_consent_resp","correct_response","nbackdigit","oldnew","phase","practice","response","response_age_form","response_feedback_resp","response_gender_form","response_time","subject_nr","target","test_word","total_correct","total_response_time","total_responses"
"NA","NA","100","19164","NA","['D', 'A', 'B', 'C']","undefined","1","NA","NA","NA","NA","NA","return","NA","NA","NA","6285","61","NA","NA","1","19164","1"
"NA","NA","100","2980","D","['D', 'A', 'B', 'C']","1","1","None","8","NA","practice","1","None","NA","NA","NA","2980","61","NA","NA","1","2980","1"
"NA","NA","100","1951.5","D","['D', 'A', 'B', 'C']","1","1","z","8","NA","practice","1","z","NA","NA","NA","923","61","NA","NA","2","3903","2"
"NA","NA","100","1702","D","['D', 'A', 'B', 'C']","1","1","z","6","NA","practice","1","z","NA","NA","NA","1203","61","NA","NA","3","5106","3"
"NA","NA","100","1587.25","D","['D', 'A', 'B', 'C']","1","1","z","5","NA","practice","1","z","NA","NA","NA","1243","61","NA","NA","4","6349","4"
"NA","NA","100","1459.2","D","['D', 'A', 'B', 'C']","1","1","m","7","NA","practice","1","m","NA","NA","NA","947","61","NA","NA","5","7296","5"
"NA","NA","100","1356.16666667","D","['D', 'A', 'B', 'C']","1","1","m","4","NA","practice","1","m","NA","NA","NA","841","61","NA","NA","6","8137","6"
"NA","NA","100","1266","D","['D', 'A', 'B', 'C']","1","1","z","7","NA","practice","1","z","NA","NA","NA","725","61","NA","NA","7","8862","7"
"NA","NA","100","1247.25","D","['D', 'A', 'B', 'C']","1","1","m","6","NA","practice","1","m","NA","NA","NA","1116","61","NA","NA","8","9978","8"
"NA","NA","100","2990","D","['D', 'A', 'B', 'C']","1","1","None","4","NA","study","0","None","NA","NA","NA","2990","61","jackass","NA","1","2990","1"
"NA","NA","100","2539.5","D","['D', 'A', 'B', 'C']","1","1","Z","9","NA","study","0","z","NA","NA","NA","2089","61","compile","NA","2","5079","2"
"NA","NA","100","2230","D","['D', 'A', 'B', 'C']","1","1","M","4","NA","study","0","m","NA","NA","NA","1611","61","crusade","NA","3","6690","3"
"NA","NA","100","1957.75","D","['D', 'A', 'B', 'C']","1","1","Z","3","NA","study","0","z","NA","NA","NA","1141","61","legwork","NA","4","7831","4"
"NA","NA","100","1741.6","D","['D', 'A', 'B', 'C']","1","1","M","3","NA","study","0","m","NA","NA","NA","877","61","comedic","NA","5","8708","5"
