"Ans","Expression","acc","avg_rt","condition","conditionorders","correct","correct_consent_resp","correct_response","nbackdigit","oldnew","phase","practice","response","response_age_form","response_feedback_resp","response_gender_form","response_time","subject_nr","target","test_word","total_correct","total_response_time","total_responses"
"NA","NA","100","11976","NA","['C', 'D', 'A', 'B']","undefined","1","NA","NA","NA","NA","NA","space","NA","NA","NA","5705","45","NA","NA","1","11976","1"
"NA","NA","100","2987","C","['C', 'D', 'A', 'B']","1","1","None","8","NA","practice","1","None","NA","NA","NA","2987","45","NA","NA","1","2987","1"
"NA","NA","100","1758.5","C","['C', 'D', 'A', 'B']","1","1","z","8","NA","practice","1","z","NA","NA","NA","530","45","NA","NA","2","3517","2"
"NA","NA","100","1543","C","['C', 'D', 'A', 'B']","1","1","z","6","NA","practice","1","z","NA","NA","NA","1112","45","NA","NA","3","4629","3"
"NA","NA","100","1307.75","C","['C', 'D', 'A', 'B']","1","1","z","5","NA","practice","1","z","NA","NA","NA","602","45","NA","NA","4","5231","4"
"NA","NA","100","1096.4","C","['C', 'D', 'A', 'B']","1","1","m","7","NA","practice","1","m","NA","NA","NA","251","45","NA","NA","5","5482","5"
"NA","NA","100","975.333333333","C","['C', 'D', 'A', 'B']","1","1","m","4","NA","practice","1","m","NA","NA","NA","370","45","NA","NA","6","5852","6"
"NA","NA","100","900","C","['C', 'D', 'A', 'B']","1","1","z","7","NA","practice","1","z","NA","NA","NA","448","45","NA","NA","7","6300","7"
"NA","NA","100","831.125","C","['C', 'D', 'A', 'B']","1","1","m","6","NA","practice","1","m","NA","NA","NA","349","45","NA","NA","8","6649","8"
"NA","NA","100","2991","C","['C', 'D', 'A', 'B']","1","1","None","1","NA","study","0","None","NA","NA","NA","2991","45","combo","NA","1","2991","1"
"NA","NA","50","2991","C","['C', 'D', 'A', 'B']","0","1","M","4","NA","study","0","None","NA","NA","NA","2991","45","adequate","NA","1","5982","2"
"NA","NA","66.6666666667","2246.33333333","C","['C', 'D', 'A', 'B']","1","1","Z","2","NA","study","0","z","NA","NA","NA","757","45","dryness","NA","2","6739","3"
"NA","NA","50","2432.5","C","['C', 'D', 'A', 'B']","0","1","Z","2","NA","study","0","None","NA","NA","NA","2991","45","breadfruit","NA","2","9730","4"
"NA","NA","60","2360","C","['C', 'D', 'A', 'B']","1","1","Z","7","NA","study","0","z","NA","NA","NA","2070","45","hers","NA","3","11800","5"
"NA","NA","50","2465.16666667","C","['C', 'D', 'A', 'B']","0","1","M","2","NA","study","0","None","NA","NA","NA","2991","45","supposed","NA","3","14791","6"
"NA","NA","42.8571428571","2540.28571429","C","['C', 'D', 'A', 'B']","0","1","Z","1","NA","study","0","None","NA","NA","NA","2991","45","login","NA","3","17782","7"
"NA","NA","37.5","2596.5","C","['C', 'D', 'A', 'B']","0","1","M","3","NA","study","0","None","NA","NA","NA","2990","45","naughty","NA","3","20772","8"
"NA","NA","44.4444444444","2558.88888889","C","['C', 'D', 'A', 'B']","1","1","M","8","NA","study","0","m","NA","NA","NA","2258","45","unexpected","NA","4","23030","9"
"NA","NA","40","2602","C","['C', 'D', 'A', 'B']","0","1","Z","6","NA","study","0","None","NA","NA","NA","2990","45","urethane","NA","4","26020","10"
"NA","NA","36.3636363636","2637.36363636","C","['C', 'D', 'A', 'B']","0","1","Z","6","NA","study","0","None","NA","NA","NA","2991","45","extractor","NA","4","29011","11"
"NA","NA","41.6666666667","2630","C","['C', 'D', 'A', 'B']","1","1","Z","7","NA","study","0","z","NA","NA","NA","2549","45","heliport","NA","5","31560","12"
"NA","NA","46.1538461538","2477.84615385","C","['C', 'D', 'A', 'B']","1","1","M","3","NA","study","0","m","NA","NA","NA","652","45","fairytale","NA","6","32212","13"
"NA","NA","50","2334.64285714","C","['C', 'D', 'A', 'B']","1","1","M","7","NA","study","0","m","NA","NA","NA","473","45","spirit","NA","7","32685","14"
"NA","NA","46.6666666667","2378.33333333","C","['C', 'D', 'A', 'B']","0","1","M","5","NA","study","0","None","NA","NA","NA","2990","45","dumb","NA","7","35675","15"
"NA","NA","43.75","2416.5625","C","['C', 'D', 'A', 'B']","0","1","M","1","NA","study","0","None","NA","NA","NA","2990","45","edema","NA","7","38665","16"
"NA","NA","41.1764705882","2450.35294118","C","['C', 'D', 'A', 'B']","0","1","M","1","NA","study","0","None","NA","NA","NA","2991","45","enough","NA","7","41656","17"
"NA","NA","38.8888888889","2480.38888889","C","['C', 'D', 'A', 'B']","0","1","M","2","NA","study","0","None","NA","NA","NA","2991","45","kerchief","NA","7","44647","18"
"NA","NA","36.8421052632","2507.26315789","C","['C', 'D', 'A', 'B']","0","1","Z","1","NA","study","0","None","NA","NA","NA","2991","45","grazer","NA","7","47638","19"
"NA","NA","40","2490.15","C","['C', 'D', 'A', 'B']","1","1","M","7","NA","study","0","m","NA","NA","NA","2165","45","cantina","NA","8","49803","20"
"NA","NA","42.8571428571","2451.19047619","C","['C', 'D', 'A', 'B']","1","1","M","4","NA","study","0","m","NA","NA","NA","1672","45","perfectly","NA","9","51475","21"
"NA","NA","45.4545454545","2418.40909091","C","['C', 'D', 'A', 'B']","1","1","Z","5","NA","study","0","z","NA","NA","NA","1730","45","natural","NA","10","53205","22"
"NA","NA","47.8260869565","2375.39130435","C","['C', 'D', 'A', 'B']","1","1","M","4","NA","study","0","m","NA","NA","NA","1429","45","bulky","NA","11","54634","23"
"NA","NA","50","2337.25","C","['C', 'D', 'A', 'B']","1","1","Z","9","NA","study","0","z","NA","NA","NA","1460","45","pinnacle","NA","12","56094","24"
"NA","NA","52","2331.16","C","['C', 'D', 'A', 'B']","1","1","M","5","NA","study","0","m","NA","NA","NA","2185","45","timecard","NA","13","58279","25"
